Full Date,Month,Year,Word Count,Sentiment
September 1884,September,1884,1283,0.06394460477793812
February 1884,February,1884,1044,0.118370670995671
December 1878,December,1878,1288,0.12734500282326372
December 1885,December,1885,1667,0.15790771010598592
August 1883,August,1883,1834,0.12511795932186992
November 1882,November,1882,914,0.20837484433374842
September 1876,September,1876,2490,0.1700350244993103
August 1881,August,1881,1072,0.26376336898395725
June 1883,June,1883,3116,0.1614333210761783
July 1888,July,1888,1204,0.12044620161910456
November 1888,November,1888,1032,0.10501799557032117
April 1877,April,1877,755,0.2315773809523809
July 1882,July,1882,2243,0.15127247883144113
December 1883,December,1883,2868,0.12121348797250855
September 1885,September,1885,322,0.11142020202020202
February 1876,February,1876,327,0.1851851851851852
March 1883,March,1883,1718,0.1206259018759019
September 1882,September,1882,859,0.1675497131594693
September 1888,September,1888,1602,0.1364185045435045
August 1883,August,1883,155,0.6944444444444445
January 1873,January,1873,474,0.2084006734006734
January 1882,January,1882,1065,0.00657894736842105
July 1885,July,1885,891,0.11636433531746034
February 1888,February,1888,299,0.09532467532467534
April 1889,April,1889,796,0.10802521008403364
February 1882,February,1882,931,0.2210756297148702
February 1877,February,1877,1903,0.11077708907254365
May 1882,May,1882,2645,0.08035579004329003
December 1877,December,1877,587,0.24836971539099198
August 1884,August,1884,344,0.1332142857142857
February 1886,February,1886,822,0.16479402872260018
July 1882,July,1882,785,0.11004998291182498
October 1888,October,1888,906,0.12358484848484846
October 1888,October,1888,563,0.22556134117454874
September 1888,September,1888,1418,0.11825907888407887
May 1889,May,1889,1009,0.1326062504746715
September 1883,September,1883,2005,0.1319057347147235
April 1888,April,1888,838,0.19189903846153847
August 1888,August,1888,1211,0.10610216750841746
September 1883,September,1883,3723,0.11261039629095186
September 1875,September,1875,185,0.6375
January 1889,January,1889,775,0.2156055437100213
August 1882,August,1882,681,0.09867865585950691
March 1874,March,1874,223,0.3032051282051281
August 1878,August,1878,725,0.18806307118807117
January 1882,January,1882,1091,0.04919172932330827
March 1884,March,1884,1231,0.07666666666666667
November 1883,November,1883,1698,0.13170678858178858
June 1888,June,1888,568,0.09998210395269219
March 1889,March,1889,784,0.16038690476190476
May 1875,May,1875,309,0.20730519480519477
September 1888,September,1888,1214,0.11314043322470287
March 1882,March,1882,1557,0.12648680261299433
June 1882,June,1882,639,0.13514127241805812
June 1885,June,1885,1220,0.13083907979925677
September 1883,September,1883,2224,0.14026333768652208
September 1875,September,1875,83,0.7000000000000001
October 1876,October,1876,2001,0.15084968897468892
June 1879,June,1879,1269,0.11592261061887228
October 1875,October,1875,472,0.14192406692406692
July 1883,July,1883,1370,0.0765131473464807
August 1883,August,1883,2228,0.05726670710747145
August 1876,August,1876,1055,0.1468315972222222
January 1876,January,1876,357,0.051913875598086114
September 1882,September,1882,1162,0.26119531552458375
May 1882,May,1882,2755,0.1777830191615239
January 1882,January,1882,1547,0.04686989795918367
December 1882,December,1882,2145,0.1381210059781489
November 1881,November,1881,2157,0.19238687121255477
September 1882,September,1882,1063,0.1603042926572338
November 1885,November,1885,983,0.10527039497969731
December 1883,December,1883,2458,0.1269119303635433
June 1889,June,1889,1103,0.12844102178812916
October 1888,October,1888,770,0.12993516514349843
February 1886,February,1886,855,0.15985335814283178
July 1888,July,1888,1414,0.07015180666695815
October 1882,October,1882,431,0.2857176870748299
August 1888,August,1888,483,0.1761405723905724
April 1884,April,1884,366,0.14958664021164023
June 1889,June,1889,1289,0.17160058529217412
July 1883,July,1883,1354,0.15701279546412295
July 1882,July,1882,1621,0.1413827955424594
May 1876,May,1876,414,0.2345767195767196
August 1878,August,1878,293,0.15884057971014495
October 1888,October,1888,810,0.09278183621933621
July 1889,July,1889,1238,0.17037794237012988
August 1883,August,1883,1254,0.1365042989417989
July 1875,July,1875,465,0.1804421768707483
August 1874,August,1874,256,0.21688311688311684
May 1885,May,1885,1104,0.09846600540775297
August 1888,August,1888,1032,0.14954576976421632
July 1890,July,1890,553,0.08566558441558442
March 1883,March,1883,1071,0.17675538870851373
July 1887,July,1887,784,0.16119652406417118
January 1884,January,1884,2129,0.10788434861639278
March 1888,March,1888,1046,0.15371212121212122
November 1881,November,1881,1008,-0.0061731548680078055
August 1882,August,1882,3104,0.12784325759996906
January 1882,January,1882,382,0.0152777777777778
November 1884,November,1884,608,0.14272186147186147
August 1877,August,1877,1319,0.1905811571940604
April 1888,April,1888,657,-0.019185861308502822
September 1875,September,1875,318,0.1030753968253968
July 1885,July,1885,934,0.15916279519938054
December 1884,December,1884,493,0.1584277650454121
December 1888,December,1888,155,0.22130952380952382
July 1888,July,1888,603,0.10336960878627544
December 1875,December,1875,379,0.151484375
March 1883,March,1883,837,0.18009647872452747
July 1876,July,1876,468,0.2502173913043478
July 1888,July,1888,652,0.1143985963531418
April 1877,April,1877,856,0.18946339729921818
November 1888,November,1888,754,0.14839691558441562
November 1877,November,1877,2244,0.08628049886621313
November 1881,November,1881,1460,0.16633279914529908
June 1875,June,1875,282,0.19
July 1883,July,1883,1587,0.04153016941905833
June 1890,June,1890,536,0.06249007936507938
July 1875,July,1875,273,0.1784774436090226
March 1877,March,1877,698,0.13969696969696968
December 1885,December,1885,1039,0.13150757170420094
July 1888,July,1888,1011,0.16624553571428566
August 1888,August,1888,613,0.21200989486703772
October 1888,October,1888,1681,0.15526452083270262
June 1885,June,1885,449,0.1569768170426065
June 1880,June,1880,4559,0.12131453637782745
January 1881,January,1881,851,0.06425908521303259
August 1879,August,1879,1821,0.04741828684136373
February 1876,February,1876,352,0.15075757575757578
August 1888,August,1888,23,-0.125
January 1884,January,1884,219,0.14457142857142857
May 1876,May,1876,637,0.0632831686133573
December 1884,December,1884,847,0.06260138146167557
June 1874,June,1874,183,0.37544642857142857
July 1890,July,1890,928,0.015096957836683862
April 1888,April,1888,954,0.15965264187866926
September 1883,September,1883,889,0.21914335664335668
September 1873,September,1873,396,0.0883499053030303
April 1885,April,1885,786,0.1487073112073112
September 1884,September,1884,911,0.0607142857142857
February 1878,February,1878,935,0.2116414141414141
November 1882,November,1882,2412,0.1331626886626887
July 1888,July,1888,1522,0.10965688311688315
September 1875,September,1875,137,0.32083333333333336
December 1883,December,1883,463,0.17444444444444449
May 1888,May,1888,1232,0.14955164116928824
April 1885,April,1885,1385,0.15941786283891546
December 1885,December,1885,1042,0.026526217228464415
June 1883,June,1883,1405,0.08466100397918579
May 1875,May,1875,266,0.06944444444444445
February 1883,February,1883,1009,0.10078431372549017
December 1881,December,1881,1267,0.07040678740220026
March 1877,March,1877,99,0.2714285714285714
April 1877,April,1877,463,0.2546428571428571
June 1877,June,1877,3539,0.11288474670171099
August 1888,August,1888,791,0.15859622428853198
September 1889,September,1889,1867,0.14592057870904024
December 1882,December,1882,2294,0.1638871381886088
February 1874,February,1874,248,0.32653061224489793
August 1888,August,1888,1382,0.14758368694012253
September 1888,September,1888,2334,0.1178268704565874
April 1884,April,1884,402,0.09839065255731921
April 1882,April,1882,1559,0.16132599284773197
March 1884,March,1884,875,0.13478095238095233
August 1885,August,1885,968,0.1500683465085639
October 1883,October,1883,1699,0.03336493082081316
April 1881,April,1881,3200,0.12682859013414569
December 1885,December,1885,2675,0.17169580301495196
September 1877,September,1877,2309,0.1735283053491146
April 1879,April,1879,1293,-0.03258905297211746
September 1875,September,1875,418,0.14773065476190475
July 1889,July,1889,585,0.15797101449275364
July 1890,July,1890,407,0.11696428571428574
January 1885,January,1885,673,0.06511459460678212
April 1885,April,1885,1220,0.057877173995595034
January 1881,January,1881,607,-0.005508540372670784
September 1883,September,1883,2161,0.1005553090801538
April 1876,April,1876,549,0.09717532467532466
April 1885,April,1885,985,0.14505330086580087
June 1884,June,1884,1498,0.09634280813526094
August 1888,August,1888,802,0.14016393255866938
July 1875,July,1875,223,0.37642857142857145
June 1877,June,1877,2233,0.1517722604193193
May 1873,May,1873,146,0.27937500000000004
August 1875,August,1875,362,0.3931547619047619
June 1883,June,1883,784,0.1859023199023199
June 1889,June,1889,1058,0.09161803751803753
July 1885,July,1885,153,0.35158730158730156
March 1885,March,1885,11,0.0
March 1884,March,1884,3896,0.051775834119584106
July 1888,July,1888,1690,0.1430122128479793
July 1882,July,1882,3016,0.08553196156480054
November 1876,November,1876,642,0.25380611672278336
December 1888,December,1888,797,0.2104843893480257
September 1888,September,1888,716,0.07472793872793872
January 1886,January,1886,1713,0.13558339298496772
October 1883,October,1883,3149,0.18748688946159778
December 1883,December,1883,2177,0.04858128601759172
January 1889,January,1889,2064,0.06408492538732057
November 1882,November,1882,777,0.05434343434343433
June 1883,June,1883,842,0.13656723225688736
February 1890,February,1890,1387,0.18494159086855708
May 1888,May,1888,531,-0.020413595413595415
May 1884,May,1884,567,0.21163098163098165
June 1890,June,1890,688,0.12589569160997735
December 1881,December,1881,556,0.09726708074534161
September 1884,September,1884,988,0.022353080120937265
June 1885,June,1885,1139,0.1886949855699855
January 1874,January,1874,527,0.2775915404040404
August 1883,August,1883,632,0.08521970576848627
July 1882,July,1882,1993,0.08900473630312337
May 1877,May,1877,727,0.18529956427015248
March 1888,March,1888,573,0.14450877825877828
January 1883,January,1883,1381,0.10656723484848483
May 1882,May,1882,1636,0.14262034632034634
September 1882,September,1882,1918,0.10388007680976435
June 1883,June,1883,807,0.1510034732709151
December 1885,December,1885,1490,0.12109071093226023
April 1890,April,1890,960,0.10393717728055078
September 1884,September,1884,1043,-0.002573465749936337
August 1888,August,1888,1625,0.07345554295102488
September 1875,September,1875,359,0.10500000000000001
May 1885,May,1885,437,0.162429489702217
October 1888,October,1888,2179,0.11307053144224195
April 1874,April,1874,416,0.2637202380952381
December 1881,December,1881,1184,0.15893492063492065
September 1872,September,1872,131,0.03452380952380951
November 1873,November,1873,658,0.20979722032353612
February 1882,February,1882,906,0.13656378253780851
October 1883,October,1883,3865,0.16462284275751782
April 1889,April,1889,909,0.13954034391534387
May 1876,May,1876,358,0.1949911816578483
