Name,Party,Votes,Chart,Vote percentage,District
"BEST, Amanda",FFP,1620,,5.78, Albert 
"HOLLIS, Adam",KAP,3045,,10.87, Albert 
"KEECH, Margaret",ALP,7943,,28.36, Albert 
"MAIZEY, Petrina",GRN,1511,,5.40, Albert 
"BOOTHMAN, Mark",LNP,13888,,49.59, Albert 
"STRUTHERS, Karen",ALP,9134,,33.85, Algester 
"SHORTEN, Anthony",LNP,13687,,50.72, Algester 
"DUFFY, Gavan",KAP,2286,,8.47, Algester 
"KERR, Justin",GRN,1877,,6.96, Algester 
"JONES, Kate",ALP,10549,,36.60, Ashgrove 
"NEWMAN, Campbell",LNP,14932,,51.81, Ashgrove 
"WICKS, Norman",KAP,478,,1.66, Ashgrove 
"NELSON, Ian",ONP,64,,0.22, Ashgrove 
"JONES, Trevor",Other,156,,0.54, Ashgrove 
"BAYLEY, Sandra",GRN,2644,,9.17, Ashgrove 
"VINCENT, Allan",FFP,985,,3.60, Aspley 
"DAVIS, Tracy",LNP,17923,,65.43, Aspley 
"BRONOWICKI, Oskar",ALP,6449,,23.54, Aspley 
"FORREST, David",GRN,2035,,7.43, Aspley 
"TROUT, Michael",LNP,13652,,45.71, Barron River 
"FITZGERALD, Brendan",KAP,4732,,15.84, Barron River 
"SQUIRE, Mike",Other,431,,1.44, Barron River 
"WETTENHALL, Steve",ALP,8317,,27.85, Barron River 
"HARDING, Elaine",GRN,2736,,9.16, Barron River 
"MCLINDON, Aidan",KAP,7744,,26.37, Beaudesert 
"KRAUSE, Jon",LNP,13835,,47.11, Beaudesert 
"MCCREADIE, Brett",ALP,4105,,13.98, Beaudesert 
"ABRAHAMSON, Walter",FFP,478,,1.63, Beaudesert 
"GRODECKI, Andy",GRN,2448,,8.34, Beaudesert 
"SAVAGE, Jim",ONP,760,,2.59, Beaudesert 
"BOCCABELLA, Anne",GRN,3842,,15.33, Brisbane Central 
"GRACE, Grace",ALP,8435,,33.67, Brisbane Central 
"BONNETT, Ruth",Other,576,,2.30, Brisbane Central 
"CAVALLUCCI, Robert",LNP,12201,,48.70, Brisbane Central 
"CROFT, Peta-Kaye (PK)",ALP,8378,,31.64, Broadwater 
"BARTON, Verity",LNP,13583,,51.30, Broadwater 
"O'BRIEN, Ben",FFP,485,,1.83, Broadwater 
"BRYDGES, James",GRN,851,,3.21, Broadwater 
"PFORR, Liz",Other,552,,2.08, Broadwater 
"MCCAMBRIDGE, Peter",KAP,1408,,5.32, Broadwater 
"CLARKE, Ron",Other,1219,,4.60, Broadwater 
"MOORE, Chris",ALP,4181,,16.19, Buderim 
"MOORE, Tony",FFP,838,,3.24, Buderim 
"BISHOP, Lynette",KAP,2003,,7.76, Buderim 
"ETHERIDGE, Susan",GRN,2749,,10.64, Buderim 
"DICKSON, Steve",LNP,16056,,62.17, Buderim 
"FARMER, Di",ALP,12169,,42.91, Bulimba 
"DILLAWAY, Aaron",LNP,13244,,46.70, Bulimba 
"BENNETT, Justin",GRN,2947,,10.39, Bulimba 
"ANDERSON, Doug",KAP,4117,,15.42, Bundaberg 
"VERSACE, Trevor",FFP,841,,3.15, Bundaberg 
"WYATT, Peter Francis",Other,428,,1.60, Bundaberg 
"HIGGINS, Peter",GRN,785,,2.94, Bundaberg 
"DEMPSEY, Jack",LNP,14193,,53.16, Bundaberg 
"HYLAND, Cindy",ALP,6335,,23.73, Bundaberg 
"MILLER, Jo-Ann",ALP,10945,,38.93, Bundamba 
"VISKERS, Albert (Alf)",Other,132,,0.47, Bundamba 
"WATSON, Angela",Other,2213,,7.87, Bundamba 
"ACASON, Deborah",FFP,897,,3.19, Bundamba 
"PRENTICE, Jim",GRN,1445,,5.14, Bundamba 
"KITZELMANN, Michael",LNP,10022,,35.65, Bundamba 
"GAYNOR, Bernard",KAP,2461,,8.75, Bundamba 
"NICKSON, Amanda",FFP,655,,2.44, Burdekin 
"ZYLA, Angela",ALP,5520,,20.58, Burdekin 
"JOHNSON, Pete",GRN,732,,2.73, Burdekin 
"MENKENS, Rosemary",LNP,12873,,47.99, Burdekin 
"WADFORTH, Ronald",KAP,7044,,26.26, Burdekin 
"SMITH, Christine",ALP,8572,,30.85, Burleigh 
"HART, Michael",LNP,14222,,51.18, Burleigh 
"FISHER, Dean",KAP,1976,,7.11, Burleigh 
"FREDERICKS, Jeremy",FFP,671,,2.41, Burleigh 
"POWER, Jane",GRN,2345,,8.44, Burleigh 
"TOMLINSON, Stuart",ALP,4618,,16.25, Burnett 
"PAULING, Kevin",KAP,4542,,15.98, Burnett 
"EASTLAND, David",GRN,1066,,3.75, Burnett 
"BENNETT, Stephen",LNP,11368,,40.01, Burnett 
"MESSENGER, Rob",Other,6821,,24.00, Burnett 
"PIVA, John",Other,1141,,4.17, Cairns 
"KING, Gavin",LNP,11632,,42.51, Cairns 
"HOLLAND, Geoff",GRN,1946,,7.11, Cairns 
"LESINA, Kirsten",ALP,7520,,27.48, Cairns 
"HUNT, Darren",KAP,5125,,18.73, Cairns 
"PERCY, Camilla",GRN,892,,3.24, Callide 
"SCOTT, Duncan",Other,567,,2.06, Callide 
"ENSBY, Steve",KAP,7318,,26.61, Callide 
"SEENEY, Jeff",LNP,14666,,53.33, Callide 
"NEWTON, Melissa",ALP,4058,,14.76, Callide 
"ANTHONY, Christine",ALP,6037,,22.44, Caloundra 
"MCARDLE, Mark",LNP,17280,,64.22, Caloundra 
"MCKAY, Allan",GRN,3589,,13.34, Caloundra 
"CHIDGEY, David",ONP,450,,1.57, Capalaba 
"CHOI, Michael",ALP,11004,,38.37, Capalaba 
"ALLMAN-PAYNE, Penny",GRN,2168,,7.56, Capalaba 
"MOORHOUSE, Graeme",KAP,1708,,5.96, Capalaba 
"DAVIES, Steve",LNP,13345,,46.54, Capalaba 
"HENRY, Sarah",KAP,1856,,6.29, Chatsworth 
"MINNIKIN, Steve",LNP,16541,,56.05, Chatsworth 
"KILBURN, Steve",ALP,8694,,29.46, Chatsworth 
"BEARD, Axel",FFP,585,,1.98, Chatsworth 
"COONEY, Jason",GRN,1836,,6.22, Chatsworth 
"NICHOLLS, Tim",LNP,17648,,62.33, Clayfield 
"KEENAN, Will",KAP,1483,,5.24, Clayfield 
"DAVIDSON, Brent",ALP,6115,,21.60, Clayfield 
"MOREY, Luke",GRN,3068,,10.84, Clayfield 
"LAMBERT, Ronald",Other,1223,,4.09, Cleveland 
"ROBINSON, Mark",LNP,18497,,61.89, Cleveland 
"SCOTT, Brad",GRN,2263,,7.57, Cleveland 
"BRISKEY, Jo",ALP,7903,,26.44, Cleveland 
"MATHISON, John",KAP,6732,,21.32, Condamine 
"WHITE, Shane",Other,691,,2.19, Condamine 
"HOPPER, Ray",LNP,18409,,58.30, Condamine 
"TABIKH, Gabriele",GRN,1273,,4.03, Condamine 
"SWAN, Nev",ALP,4471,,14.16, Condamine 
"EVANS, James",ONP,524,,2.23, Cook 
"RILEY, George",GRN,1295,,5.50, Cook 
"O'BRIEN, Jason",ALP,7634,,32.42, Cook 
"KEMPTON, David",LNP,8832,,37.51, Cook 
"BENSTED, Lachlan",KAP,5261,,22.34, Cook 
"WISBEY, Chris",GRN,1751,,6.04, Coomera 
"HARRIP, Rowan",Other,628,,2.17, Coomera 
"HIGGS, Graeme",ALP,5771,,19.90, Coomera 
"COBB, Peter",KAP,2902,,10.01, Coomera 
"CRANDON, Michael",LNP,17951,,61.89, Coomera 
"PICKERING, Royston",FFP,710,,2.57, Currumbin 
"WYATT, David",GRN,2624,,9.51, Currumbin 
"HYSLOP, Calum",ALP,6051,,21.93, Currumbin 
"STUCKEY, Jann",LNP,16237,,58.84, Currumbin 
"BOWMAN, Steve",KAP,1973,,7.15, Currumbin 
"JONES, Jess",GRN,1230,,4.73, Dalrymple 
"WILLIAMSON, Christopher",Other,172,,0.66, Dalrymple 
"KNUTH, Shane",KAP,13982,,53.73, Dalrymple 
"BRISKEY, Jason",Other,177,,0.68, Dalrymple 
"GERTZ, Benjamin",ALP,2886,,11.09, Dalrymple 
"SCHMIDT, Liz",LNP,7576,,29.11, Dalrymple 
"WATT, Murray",ALP,8851,,31.10, Everton 
"WITHEROW, Denym",KAP,1192,,4.19, Everton 
"MANDER, Tim",LNP,16364,,57.50, Everton 
"HALLETT, Bruce",GRN,2053,,7.21, Everton 
"NIELSEN, Howard",GRN,4051,,14.25, Ferny Grove 
"WILSON, Geoff",ALP,8929,,31.40, Ferny Grove 
"SHUTTLEWORTH, Dale",LNP,15458,,54.36, Ferny Grove 
"DOUGLAS, Alex",LNP,15175,,55.16, Gaven 
"ROADLEY, Bibe",FFP,1298,,4.72, Gaven 
"RIORDAN, Michael",ALP,6289,,22.86, Gaven 
"TOLAND, Penny",Other,799,,2.90, Gaven 
"POWER, Stephen",GRN,1536,,5.58, Gaven 
"ZIMMERMAN, Brian",KAP,2413,,8.77, Gaven 
"BUTCHER, Glenn",ALP,8359,,29.19, Gladstone 
"CUNNINGHAM, Liz",Other,14020,,48.96, Gladstone 
"SCHROTER, Russell",LNP,3109,,10.86, Gladstone 
"BEEZLEY, Anthony",KAP,2545,,8.89, Gladstone 
"BLAKE, Andrew",GRN,602,,2.10, Gladstone 
"LUKE, Stewart",GRN,4455,,15.64, Glass House 
"POWELL, Andrew",LNP,15910,,55.85, Glass House 
"MOORE, Ryan",ALP,5032,,17.67, Glass House 
"HARRIS, Peter",KAP,3088,,10.84, Glass House 
"ROSE, Emma-Kate",GRN,3529,,12.92, Greenslopes 
"DICK, Cameron",ALP,10713,,39.22, Greenslopes 
"KAYE, Ian",LNP,13076,,47.87, Greenslopes 
"CURRIE, Bruce",Other,831,,3.67, Gregory 
"JOHNSON, Vaughan",LNP,13399,,59.10, Gregory 
"WESTON, Norman",GRN,617,,2.72, Gregory 
"O'BRIEN, Jack",ALP,3970,,17.51, Gregory 
"WILLIAMS, Pauline",KAP,3855,,17.00, Gregory 
"FERRARO, Santo",ONP,335,,1.18, Gympie 
"HAWKE, Kathy",FFP,917,,3.23, Gympie 
"PAULGER, Shane",KAP,6198,,21.83, Gympie 
"GIBSON, David",LNP,15054,,53.03, Gympie 
"PARKER, Ben",ALP,3475,,12.24, Gympie 
"MACDONALD, Shena",GRN,2410,,8.49, Gympie 
"SORENSEN, Ted",LNP,17668,,59.23, Hervey Bay 
"SULLIVAN, Troy",FFP,1124,,3.77, Hervey Bay 
"MARTIN, Glenn",GRN,1029,,3.45, Hervey Bay 
