G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Tm,Opp,W,L
1,241.6891891891892,40.2972972972973,89.078125,0.45939062500000005,13.554054054054054,22.943661971830984,0.5264347826086956,21.5,28.738095238095237,17.845672413793103,15.728813559322035,31.65,42.714285714285715,25.044444444444444,15.203125,50.38356164383562,16.525,25.78048780487805,107.36585365853658,0.5743076923076923,0.5397027027027028,0.35064864864864864,0.27483783783783783,11.454,41.581081081081074,67.00540540540541,54.96756756756757,42.62702702702703,8.927027027027028,10.36216216216216,44.78918918918919,104.6297297297297,105.54864864864865,99.54166666666667,,106.21621621621621,100.48648648648648,0.6081081081081081,0.3918918918918919
2,241.6891891891892,38.63513513513514,88.63793103448276,0.4386896551724139,13.364864864864865,22.76388888888889,0.47563380281690154,19.488372093023255,26.906976744186046,14.8332,15.442307692307692,30.146341463414632,41.86046511627907,22.622222222222224,15.142857142857142,49.013698630136986,17.24390243902439,24.78048780487805,100.70731707317073,0.5244615384615384,0.5020810810810812,0.32432432432432434,0.2632432432432433,11.902459459459461,41.3027027027027,66.12162162162163,52.35945945945946,41.659459459459455,8.07837837837838,11.043243243243243,44.58108108108108,101.17297297297297,102.02432432432431,104.37499999999999,,101.54054054054055,100.85135135135135,1.1216216216216217,0.8783783783783784
3,240.33783783783784,39.445945945945944,89.47692307692307,0.4516461538461538,13.0,21.863013698630137,0.4970428571428571,20.431818181818183,27.727272727272727,19.23005,15.82258064516129,29.88372093023256,41.02272727272727,23.681818181818183,16.238805970149254,49.0945945945946,17.585365853658537,24.121951219512194,103.4390243902439,0.5552307692307693,0.5222702702702703,0.3360540540540541,0.2993243243243244,11.503567567567567,42.80540540540541,66.46486486486486,53.96486486486486,43.162162162162154,9.113513513513514,10.675675675675675,45.01621621621622,102.92702702702704,104.06216216216217,101.85000000000002,,103.5,98.44594594594595,1.7837837837837838,1.2162162162162162
4,241.01351351351352,38.567567567567565,87.86440677966101,0.44949152542372867,14.324324324324325,24.041666666666668,0.4871666666666667,18.511627906976745,24.627906976744185,17.357803571428573,14.851851851851851,29.404761904761905,39.54545454545455,24.755555555555556,13.918032786885245,47.945945945945944,14.975,23.70731707317073,102.97560975609755,0.5463846153846155,0.5345135135135136,0.3545945945945947,0.27499999999999997,10.975486486486489,40.38648648648648,65.85675675675678,55.54324324324324,43.305405405405395,8.464864864864865,9.75945945945946,44.5918918918919,103.8108108108108,107.65945945945944,103.82499999999999,,101.91891891891892,98.75675675675676,2.364864864864865,1.635135135135135
5,242.36486486486487,39.58108108108108,88.47457627118644,0.456322033898305,13.18918918918919,22.38888888888889,0.48977464788732394,19.38095238095238,25.452380952380953,17.267931034482757,14.418181818181818,30.75,41.904761904761905,24.09090909090909,15.596774193548388,49.458333333333336,15.775,23.48780487804878,104.07317073170732,0.5467692307692309,0.5262162162162163,0.34221621621621623,0.25797297297297295,10.24762162162162,41.02432432432432,66.56756756756755,52.92162162162163,42.60270270270269,8.42162162162162,9.310810810810809,44.2027027027027,102.98108108108109,105.97567567567566,102.38333333333333,,103.27027027027027,101.87837837837837,2.891891891891892,2.108108108108108
6,243.3783783783784,38.66216216216216,89.30645161290323,0.4519354838709676,14.22972972972973,23.541666666666668,0.5077142857142858,18.767441860465116,26.046511627906977,20.53983870967742,15.517241379310345,30.975609756097562,41.02272727272727,23.25581395348837,15.415384615384616,50.583333333333336,15.875,23.073170731707318,101.4390243902439,0.5312307692307693,0.5186216216216214,0.34040540540540537,0.2752162162162162,10.496135135135136,39.73243243243244,65.47297297297295,52.44324324324324,41.48918918918919,8.432432432432432,11.970270270270266,43.8027027027027,101.18648648648649,104.27027027027026,99.28750000000001,,102.16216216216216,99.22972972972973,3.554054054054054,2.445945945945946
7,240.0,40.41891891891892,88.66129032258064,0.4668548387096776,12.675675675675675,22.014084507042252,0.5052535211267605,18.11627906976744,24.6046511627907,15.101833333333333,16.263157894736842,29.536585365853657,39.90909090909091,25.59090909090909,15.140625,50.888888888888886,15.0,22.951219512195124,102.2439024390244,0.5847692307692307,0.5314324324324327,0.33183783783783793,0.2598918918918919,11.479324324324324,41.19999999999998,66.0918918918919,53.62162162162161,44.75405405405406,8.645945945945945,10.451351351351354,43.26756756756757,104.54324324324325,105.77027027027029,103.2791666666667,,103.5,99.28378378378379,4.202702702702703,2.7972972972972974
8,241.6891891891892,39.986486486486484,89.2,0.45964615384615365,13.81081081081081,22.84285714285714,0.5377500000000001,21.022727272727273,27.90909090909091,20.03267741935484,15.618181818181819,29.928571428571427,41.04651162790697,24.369565217391305,15.73134328358209,51.18055555555556,14.35,21.463414634146343,105.6829268292683,0.5568461538461538,0.5342432432432432,0.3493243243243244,0.2924054054054054,10.334513513513514,41.535135135135135,66.55945945945946,55.10810810810812,43.856756756756766,9.127027027027026,8.929729729729727,43.64324324324324,104.71621621621624,107.6162162162162,103.35000000000001,,105.60810810810811,98.51351351351352,4.945945945945946,3.054054054054054
9,240.67567567567568,39.66216216216216,88.96923076923076,0.4548923076923077,14.108108108108109,23.577464788732396,0.5056760563380283,20.25581395348837,28.162790697674417,20.370322580645162,16.796875,29.761904761904763,41.325581395348834,23.863636363636363,14.692307692307692,50.84931506849315,14.951219512195122,22.878048780487806,103.53658536585365,0.5534615384615384,0.5298108108108106,0.35210810810810816,0.30656756756756764,10.80227027027027,42.18918918918919,65.2891891891892,54.77297297297297,41.75135135135135,7.978378378378378,9.829729729729728,43.69189189189189,103.82972972972975,108.57027027027027,105.72499999999998,,104.74324324324324,100.98648648648648,5.581081081081081,3.418918918918919
10,241.35135135135135,39.189189189189186,89.1774193548387,0.45445161290322567,14.175675675675675,22.944444444444443,0.5468028169014083,18.72093023255814,25.558139534883722,18.284898305084745,15.94915254237288,30.166666666666668,41.23255813953488,24.40909090909091,14.890625,48.270270270270274,16.21951219512195,23.073170731707318,103.29268292682927,0.5609999999999999,0.5283513513513514,0.3408648648648649,0.2875945945945947,10.556027027027028,40.332432432432434,64.42702702702704,52.951351351351356,42.72972972972975,7.729729729729732,10.102702702702704,44.28918918918919,102.83243243243244,105.81621621621623,107.69166666666668,,103.0945945945946,100.9054054054054,6.175675675675675,3.824324324324324
