G,variable,value
64.0,FG,41.0
63.0,FG,38.0
62.0,FG,35.0
61.0,FG,40.0
60.0,FG,44.0
59.0,FG,39.0
58.0,FG,45.0
57.0,FG,43.0
56.0,FG,38.0
55.0,FG,44.0
54.0,FG,45.0
53.0,FG,37.0
52.0,FG,38.0
51.0,FG,37.0
50.0,FG,46.0
49.0,FG,48.0
48.0,FG,38.0
47.0,FG,42.0
46.0,FG,39.0
45.0,FG,41.0
44.0,FG,40.0
43.0,FG,45.0
42.0,FG,52.0
41.0,FG,42.0
40.0,FG,43.0
39.0,FG,41.0
38.0,FG,39.0
37.0,FG,55.0
36.0,FG,38.0
35.0,FG,37.0
34.0,FG,33.0
33.0,FG,43.0
32.0,FG,41.0
31.0,FG,44.0
30.0,FG,31.0
29.0,FG,49.0
28.0,FG,46.0
27.0,FG,46.0
26.0,FG,45.0
25.0,FG,35.0
24.0,FG,42.0
23.0,FG,43.0
22.0,FG,45.0
21.0,FG,44.0
20.0,FG,35.0
19.0,FG,41.0
18.0,FG,41.0
17.0,FG,43.0
16.0,FG,38.0
15.0,FG,33.0
14.0,FG,41.0
13.0,FG,37.0
12.0,FG,34.0
11.0,FG,37.0
10.0,FG,49.0
9.0,FG,41.0
8.0,FG,48.0
7.0,FG,40.0
6.0,FG,48.0
5.0,FG,33.0
4.0,FG,41.0
3.0,FG,42.0
2.0,FG,42.0
1.0,FG,33.0
82.0,FG,45.0
81.0,FG,42.0
80.0,FG,48.0
79.0,FG,38.0
78.0,FG,36.0
77.0,FG,35.0
76.0,FG,44.0
75.0,FG,46.0
74.0,FG,38.0
73.0,FG,44.0
72.0,FG,45.0
71.0,FG,39.0
70.0,FG,44.0
69.0,FG,49.0
68.0,FG,44.0
67.0,FG,48.0
66.0,FG,40.0
65.0,FG,49.0
64.0,FG,37.0
63.0,FG,42.0
62.0,FG,40.0
61.0,FG,33.0
60.0,FG,45.0
59.0,FG,39.0
58.0,FG,45.0
57.0,FG,41.0
56.0,FG,39.0
55.0,FG,46.0
54.0,FG,40.0
53.0,FG,54.0
52.0,FG,46.0
51.0,FG,50.0
50.0,FG,45.0
49.0,FG,41.0
48.0,FG,45.0
47.0,FG,43.0
46.0,FG,39.0
45.0,FG,44.0
44.0,FG,46.0
43.0,FG,37.0
42.0,FG,38.0
41.0,FG,36.0
40.0,FG,50.0
39.0,FG,47.0
38.0,FG,42.0
37.0,FG,45.0
36.0,FG,43.0
35.0,FG,40.0
34.0,FG,38.0
33.0,FG,45.0
32.0,FG,43.0
