G,variable,value
64.0,TS%,0.555
63.0,TS%,0.518
62.0,TS%,0.461
61.0,TS%,0.575
60.0,TS%,0.53
59.0,TS%,0.495
58.0,TS%,0.626
57.0,TS%,0.614
56.0,TS%,0.5820000000000001
55.0,TS%,0.5710000000000001
54.0,TS%,0.585
53.0,TS%,0.547
52.0,TS%,0.584
51.0,TS%,0.5720000000000001
50.0,TS%,0.623
49.0,TS%,0.631
48.0,TS%,0.5920000000000001
47.0,TS%,0.609
46.0,TS%,0.583
45.0,TS%,0.547
44.0,TS%,0.58
43.0,TS%,0.608
42.0,TS%,0.657
41.0,TS%,0.563
40.0,TS%,0.56
39.0,TS%,0.561
38.0,TS%,0.59
37.0,TS%,0.649
36.0,TS%,0.535
35.0,TS%,0.5579999999999999
34.0,TS%,0.442
33.0,TS%,0.608
32.0,TS%,0.515
31.0,TS%,0.537
30.0,TS%,0.517
29.0,TS%,0.624
28.0,TS%,0.601
27.0,TS%,0.626
26.0,TS%,0.598
25.0,TS%,0.5489999999999999
24.0,TS%,0.5529999999999999
23.0,TS%,0.605
22.0,TS%,0.675
21.0,TS%,0.631
20.0,TS%,0.602
19.0,TS%,0.55
18.0,TS%,0.523
17.0,TS%,0.562
16.0,TS%,0.541
15.0,TS%,0.505
14.0,TS%,0.472
13.0,TS%,0.513
12.0,TS%,0.535
11.0,TS%,0.519
10.0,TS%,0.644
9.0,TS%,0.598
8.0,TS%,0.635
7.0,TS%,0.524
6.0,TS%,0.65
5.0,TS%,0.599
4.0,TS%,0.573
3.0,TS%,0.5579999999999999
2.0,TS%,0.483
1.0,TS%,0.443
82.0,TS%,0.532
81.0,TS%,0.5670000000000001
80.0,TS%,0.591
79.0,TS%,0.598
78.0,TS%,0.542
77.0,TS%,0.515
76.0,TS%,0.61
75.0,TS%,0.584
74.0,TS%,0.475
73.0,TS%,0.5870000000000001
72.0,TS%,0.5579999999999999
71.0,TS%,0.518
70.0,TS%,0.59
69.0,TS%,0.581
68.0,TS%,0.579
67.0,TS%,0.605
66.0,TS%,0.629
65.0,TS%,0.618
64.0,TS%,0.579
63.0,TS%,0.527
62.0,TS%,0.509
61.0,TS%,0.483
60.0,TS%,0.573
59.0,TS%,0.463
58.0,TS%,0.624
57.0,TS%,0.5760000000000001
56.0,TS%,0.53
55.0,TS%,0.623
54.0,TS%,0.584
53.0,TS%,0.68
52.0,TS%,0.541
51.0,TS%,0.649
50.0,TS%,0.536
49.0,TS%,0.526
48.0,TS%,0.64
47.0,TS%,0.585
46.0,TS%,0.5710000000000001
45.0,TS%,0.638
44.0,TS%,0.599
43.0,TS%,0.504
42.0,TS%,0.503
41.0,TS%,0.513
40.0,TS%,0.685
39.0,TS%,0.59
38.0,TS%,0.565
37.0,TS%,0.696
36.0,TS%,0.573
35.0,TS%,0.637
34.0,TS%,0.597
33.0,TS%,0.518
32.0,TS%,0.613
31.0,TS%,0.501
30.0,TS%,0.565
29.0,TS%,0.499
28.0,TS%,0.621
27.0,TS%,0.565
26.0,TS%,0.574
25.0,TS%,0.6679999999999999
24.0,TS%,0.635
23.0,TS%,0.626
22.0,TS%,0.6459999999999999
21.0,TS%,0.611
20.0,TS%,0.5670000000000001
19.0,TS%,0.569
18.0,TS%,0.491
17.0,TS%,0.578
16.0,TS%,0.431
15.0,TS%,0.618
14.0,TS%,0.5770000000000001
13.0,TS%,0.483
12.0,TS%,0.589
11.0,TS%,0.524
10.0,TS%,0.58
9.0,TS%,0.5489999999999999
8.0,TS%,0.599
7.0,TS%,0.551
6.0,TS%,0.562
5.0,TS%,0.502
4.0,TS%,0.474
3.0,TS%,0.534
2.0,TS%,0.488
1.0,TS%,0.509
82.0,TS%,0.506
81.0,TS%,0.511
80.0,TS%,0.584
79.0,TS%,0.627
78.0,TS%,0.447
77.0,TS%,0.557
76.0,TS%,0.551
75.0,TS%,0.552
74.0,TS%,0.547
73.0,TS%,0.654
72.0,TS%,0.594
71.0,TS%,0.532
70.0,TS%,0.465
69.0,TS%,0.488
68.0,TS%,0.568
67.0,TS%,0.537
66.0,TS%,0.5920000000000001
65.0,TS%,0.588
64.0,TS%,0.599
63.0,TS%,0.716
62.0,TS%,0.557
61.0,TS%,0.574
60.0,TS%,0.5920000000000001
59.0,TS%,0.56
58.0,TS%,0.502
57.0,TS%,0.465
56.0,TS%,0.556
55.0,TS%,0.496
54.0,TS%,0.524
53.0,TS%,0.608
52.0,TS%,0.561
51.0,TS%,0.5820000000000001
50.0,TS%,0.5489999999999999
49.0,TS%,0.55
48.0,TS%,0.5670000000000001
47.0,TS%,0.521
46.0,TS%,0.491
45.0,TS%,0.523
44.0,TS%,0.585
43.0,TS%,0.416
42.0,TS%,0.456
41.0,TS%,0.527
40.0,TS%,0.6
39.0,TS%,0.535
38.0,TS%,0.609
37.0,TS%,0.5820000000000001
36.0,TS%,0.578
35.0,TS%,0.493
34.0,TS%,0.499
33.0,TS%,0.6579999999999999
32.0,TS%,0.5920000000000001
31.0,TS%,0.503
30.0,TS%,0.6920000000000001
29.0,TS%,0.477
28.0,TS%,0.523
27.0,TS%,0.564
26.0,TS%,0.513
25.0,TS%,0.643
24.0,TS%,0.644
23.0,TS%,0.615
22.0,TS%,0.626
21.0,TS%,0.643
20.0,TS%,0.578
19.0,TS%,0.511
18.0,TS%,0.5760000000000001
17.0,TS%,0.606
16.0,TS%,0.481
15.0,TS%,0.557
14.0,TS%,0.498
13.0,TS%,0.474
12.0,TS%,0.479
11.0,TS%,0.607
10.0,TS%,0.532
9.0,TS%,0.534
8.0,TS%,0.625
7.0,TS%,0.568
6.0,TS%,0.519
5.0,TS%,0.547
4.0,TS%,0.633
3.0,TS%,0.52
2.0,TS%,0.499
1.0,TS%,0.5
82.0,TS%,0.547
81.0,TS%,0.569
80.0,TS%,0.64
79.0,TS%,0.5529999999999999
78.0,TS%,0.485
77.0,TS%,0.659
76.0,TS%,0.591
75.0,TS%,0.51
74.0,TS%,0.636
73.0,TS%,0.594
72.0,TS%,0.604
71.0,TS%,0.522
70.0,TS%,0.512
69.0,TS%,0.501
68.0,TS%,0.6629999999999999
67.0,TS%,0.57
66.0,TS%,0.5429999999999999
65.0,TS%,0.536
64.0,TS%,0.5329999999999999
63.0,TS%,0.517
62.0,TS%,0.605
61.0,TS%,0.584
60.0,TS%,0.5
59.0,TS%,0.53
58.0,TS%,0.5529999999999999
57.0,TS%,0.6
56.0,TS%,0.605
55.0,TS%,0.624
54.0,TS%,0.69
53.0,TS%,0.583
52.0,TS%,0.542
51.0,TS%,0.5529999999999999
50.0,TS%,0.599
49.0,TS%,0.544
48.0,TS%,0.585
47.0,TS%,0.5479999999999999
46.0,TS%,0.669
45.0,TS%,0.612
44.0,TS%,0.5710000000000001
43.0,TS%,0.5820000000000001
42.0,TS%,0.511
41.0,TS%,0.611
40.0,TS%,0.564
39.0,TS%,0.63
38.0,TS%,0.565
37.0,TS%,0.5720000000000001
36.0,TS%,0.561
35.0,TS%,0.706
34.0,TS%,0.674
33.0,TS%,0.626
32.0,TS%,0.6
31.0,TS%,0.584
30.0,TS%,0.536
29.0,TS%,0.525
28.0,TS%,0.573
27.0,TS%,0.534
26.0,TS%,0.537
25.0,TS%,0.544
24.0,TS%,0.513
23.0,TS%,0.507
22.0,TS%,0.605
21.0,TS%,0.508
20.0,TS%,0.603
19.0,TS%,0.513
18.0,TS%,0.5710000000000001
17.0,TS%,0.593
16.0,TS%,0.542
15.0,TS%,0.547
14.0,TS%,0.5489999999999999
13.0,TS%,0.525
12.0,TS%,0.482
11.0,TS%,0.523
10.0,TS%,0.506
9.0,TS%,0.555
8.0,TS%,0.528
7.0,TS%,0.513
6.0,TS%,0.539
5.0,TS%,0.5770000000000001
4.0,TS%,0.5660000000000001
3.0,TS%,0.588
2.0,TS%,0.5720000000000001
1.0,TS%,0.629
82.0,TS%,0.512
81.0,TS%,0.491
80.0,TS%,0.532
79.0,TS%,0.655
78.0,TS%,0.526
77.0,TS%,0.531
76.0,TS%,0.544
75.0,TS%,0.529
74.0,TS%,0.446
73.0,TS%,0.532
72.0,TS%,0.51
71.0,TS%,0.56
70.0,TS%,0.581
69.0,TS%,0.521
68.0,TS%,0.52
67.0,TS%,0.473
66.0,TS%,0.474
65.0,TS%,0.595
64.0,TS%,0.561
63.0,TS%,0.52
62.0,TS%,0.493
61.0,TS%,0.517
60.0,TS%,0.478
59.0,TS%,0.568
58.0,TS%,0.562
57.0,TS%,0.5720000000000001
56.0,TS%,0.48
55.0,TS%,0.625
54.0,TS%,0.5870000000000001
53.0,TS%,0.6559999999999999
52.0,TS%,0.525
51.0,TS%,0.501
50.0,TS%,0.498
49.0,TS%,0.5479999999999999
48.0,TS%,0.593
47.0,TS%,0.521
46.0,TS%,0.579
45.0,TS%,0.532
44.0,TS%,0.523
43.0,TS%,0.595
42.0,TS%,0.536
41.0,TS%,0.573
40.0,TS%,0.5379999999999999
39.0,TS%,0.521
38.0,TS%,0.585
37.0,TS%,0.499
36.0,TS%,0.4270000000000001
35.0,TS%,0.457
34.0,TS%,0.513
33.0,TS%,0.483
32.0,TS%,0.525
31.0,TS%,0.511
30.0,TS%,0.526
29.0,TS%,0.529
28.0,TS%,0.588
27.0,TS%,0.557
26.0,TS%,0.583
25.0,TS%,0.413
24.0,TS%,0.488
23.0,TS%,0.4920000000000001
22.0,TS%,0.503
21.0,TS%,0.606
20.0,TS%,0.5489999999999999
19.0,TS%,0.603
18.0,TS%,0.5770000000000001
17.0,TS%,0.47
16.0,TS%,0.527
15.0,TS%,0.425
14.0,TS%,0.519
13.0,TS%,0.5529999999999999
12.0,TS%,0.6559999999999999
11.0,TS%,0.4970000000000001
10.0,TS%,0.552
9.0,TS%,0.551
8.0,TS%,0.489
7.0,TS%,0.5
6.0,TS%,0.525
5.0,TS%,0.551
4.0,TS%,0.529
3.0,TS%,0.418
2.0,TS%,0.5
1.0,TS%,0.578
82.0,TS%,0.5760000000000001
81.0,TS%,0.45
80.0,TS%,0.624
79.0,TS%,0.531
78.0,TS%,0.595
77.0,TS%,0.5479999999999999
76.0,TS%,0.531
75.0,TS%,0.532
74.0,TS%,0.585
73.0,TS%,0.514
72.0,TS%,0.546
71.0,TS%,0.504
70.0,TS%,0.56
69.0,TS%,0.431
68.0,TS%,0.46
67.0,TS%,0.613
66.0,TS%,0.5710000000000001
65.0,TS%,0.504
64.0,TS%,0.501
63.0,TS%,0.514
62.0,TS%,0.529
61.0,TS%,0.51
60.0,TS%,0.578
59.0,TS%,0.439
58.0,TS%,0.421
57.0,TS%,0.434
56.0,TS%,0.517
55.0,TS%,0.626
54.0,TS%,0.563
53.0,TS%,0.505
52.0,TS%,0.453
51.0,TS%,0.4370000000000001
50.0,TS%,0.491
49.0,TS%,0.552
48.0,TS%,0.488
47.0,TS%,0.62
46.0,TS%,0.422
45.0,TS%,0.434
44.0,TS%,0.516
43.0,TS%,0.588
42.0,TS%,0.519
41.0,TS%,0.5760000000000001
40.0,TS%,0.5
39.0,TS%,0.499
38.0,TS%,0.56
37.0,TS%,0.51
36.0,TS%,0.531
35.0,TS%,0.523
34.0,TS%,0.468
33.0,TS%,0.466
32.0,TS%,0.47
31.0,TS%,0.496
30.0,TS%,0.519
29.0,TS%,0.527
28.0,TS%,0.491
27.0,TS%,0.583
26.0,TS%,0.486
25.0,TS%,0.469
24.0,TS%,0.625
23.0,TS%,0.62
22.0,TS%,0.518
21.0,TS%,0.511
20.0,TS%,0.476
19.0,TS%,0.569
18.0,TS%,0.508
17.0,TS%,0.5670000000000001
16.0,TS%,0.52
15.0,TS%,0.585
14.0,TS%,0.475
13.0,TS%,0.487
12.0,TS%,0.439
11.0,TS%,0.514
10.0,TS%,0.547
9.0,TS%,0.5660000000000001
8.0,TS%,0.617
7.0,TS%,0.53
6.0,TS%,0.59
5.0,TS%,0.5489999999999999
4.0,TS%,0.623
3.0,TS%,0.518
2.0,TS%,0.425
1.0,TS%,0.617
82.0,TS%,0.542
81.0,TS%,0.5539999999999999
80.0,TS%,0.5670000000000001
79.0,TS%,0.626
78.0,TS%,0.5379999999999999
77.0,TS%,0.584
76.0,TS%,0.53
75.0,TS%,0.488
74.0,TS%,0.478
73.0,TS%,0.542
72.0,TS%,0.607
71.0,TS%,0.507
70.0,TS%,0.526
69.0,TS%,0.614
68.0,TS%,0.449
67.0,TS%,0.56
66.0,TS%,0.387
65.0,TS%,0.505
64.0,TS%,0.418
63.0,TS%,0.555
62.0,TS%,0.5589999999999999
61.0,TS%,0.503
60.0,TS%,0.503
59.0,TS%,0.574
58.0,TS%,0.526
57.0,TS%,0.476
56.0,TS%,0.44
55.0,TS%,0.473
54.0,TS%,0.526
53.0,TS%,0.542
52.0,TS%,0.461
51.0,TS%,0.523
