G,variable,value
1,3PAr,0.259
1,AST%,52.6
1,BLK%,10.1
1,DRtg,98.75
1,ORtg,105.7
1,STL%,9.6
1,TOV%,17.1
1,TS%,0.55
1,eFG%,0.461
2,3PAr,0.264
2,AST%,54.1
2,BLK%,10.9
2,DRtg,104.65
2,ORtg,103.1
2,STL%,8.0
2,TOV%,16.5
2,TS%,0.5
2,eFG%,0.418
3,3PAr,0.29600000000000004
3,AST%,56.8
3,BLK%,10.3
3,DRtg,101.05000000000001
3,ORtg,104.5
3,STL%,8.1
3,TOV%,18.7
3,TS%,0.516
3,eFG%,0.439
4,3PAr,0.241
4,AST%,55.0
4,BLK%,9.6
4,DRtg,105.94999999999999
4,ORtg,106.6
4,STL%,8.3
4,TOV%,17.9
4,TS%,0.534
4,eFG%,0.449
5,3PAr,0.244
5,AST%,55.0
5,BLK%,8.1
5,DRtg,105.1
5,ORtg,105.1
5,STL%,7.9
5,TOV%,16.0
5,TS%,0.527
5,eFG%,0.468
6,3PAr,0.269
6,AST%,52.9
6,BLK%,11.5
6,DRtg,99.9
6,ORtg,106.7
6,STL%,8.0
6,TOV%,14.9
6,TS%,0.525
6,eFG%,0.457
7,3PAr,0.224
7,AST%,57.6
7,BLK%,9.8
7,DRtg,102.25
7,ORtg,106.0
7,STL%,8.3
7,TOV%,14.2
7,TS%,0.542
7,eFG%,0.428
8,3PAr,0.266
8,AST%,58.3
8,BLK%,10.1
8,DRtg,102.25
8,ORtg,109.7
8,STL%,9.2
8,TOV%,15.2
8,TS%,0.5539999999999999
8,eFG%,0.457
9,3PAr,0.297
9,AST%,54.8
9,BLK%,9.9
9,DRtg,105.1
9,ORtg,108.9
9,STL%,7.5
9,TOV%,15.6
9,TS%,0.544
9,eFG%,0.445
10,3PAr,0.277
10,AST%,50.0
10,BLK%,9.1
10,DRtg,110.25
10,ORtg,104.4
10,STL%,7.9
10,TOV%,16.8
10,TS%,0.517
10,eFG%,0.453
11,3PAr,0.25
11,AST%,53.1
11,BLK%,9.3
11,DRtg,100.55
11,ORtg,106.1
11,STL%,7.5
11,TOV%,18.1
11,TS%,0.523
11,eFG%,0.457
12,3PAr,0.253
12,AST%,52.4
12,BLK%,8.3
12,DRtg,101.25
12,ORtg,103.4
12,STL%,7.8
12,TOV%,15.2
12,TS%,0.507
12,eFG%,0.425
13,3PAr,0.241
13,AST%,51.6
13,BLK%,9.1
13,DRtg,103.75
13,ORtg,107.4
13,STL%,7.1
13,TOV%,14.2
13,TS%,0.515
13,eFG%,0.43
14,3PAr,0.222
14,AST%,53.1
14,BLK%,9.9
14,DRtg,101.19999999999999
14,ORtg,102.8
14,STL%,8.3
14,TOV%,15.3
14,TS%,0.519
14,eFG%,0.448
15,3PAr,0.279
15,AST%,48.3
15,BLK%,10.0
15,DRtg,103.45
15,ORtg,106.2
15,STL%,7.7
15,TOV%,17.0
15,TS%,0.54
15,eFG%,0.466
16,3PAr,0.25
16,AST%,51.7
16,BLK%,10.4
16,DRtg,103.9
16,ORtg,104.8
16,STL%,9.9
16,TOV%,15.6
16,TS%,0.52
16,eFG%,0.412
17,3PAr,0.262
17,AST%,50.0
17,BLK%,10.2
17,DRtg,105.05
17,ORtg,105.0
17,STL%,8.2
17,TOV%,15.0
17,TS%,0.5429999999999999
17,eFG%,0.451
18,3PAr,0.258
18,AST%,53.3
18,BLK%,9.2
18,DRtg,104.1
18,ORtg,105.1
18,STL%,7.6
18,TOV%,16.3
18,TS%,0.541
18,eFG%,0.455
19,3PAr,0.247
19,AST%,54.3
19,BLK%,9.8
19,DRtg,102.44999999999999
19,ORtg,104.0
19,STL%,7.1
19,TOV%,16.4
19,TS%,0.524
19,eFG%,0.44
20,3PAr,0.275
20,AST%,54.0
20,BLK%,7.2
20,DRtg,105.35
20,ORtg,111.6
20,STL%,8.2
20,TOV%,14.8
20,TS%,0.5529999999999999
20,eFG%,0.481
21,3PAr,0.259
21,AST%,54.3
21,BLK%,8.2
21,DRtg,103.15
21,ORtg,106.7
21,STL%,8.1
21,TOV%,17.0
21,TS%,0.546
21,eFG%,0.468
22,3PAr,0.253
22,AST%,56.4
22,BLK%,9.1
22,DRtg,106.4
22,ORtg,107.7
22,STL%,8.3
22,TOV%,16.3
22,TS%,0.5379999999999999
22,eFG%,0.446
23,3PAr,0.266
23,AST%,51.3
23,BLK%,11.6
23,DRtg,106.55
23,ORtg,108.6
23,STL%,8.2
23,TOV%,16.7
23,TS%,0.5429999999999999
23,eFG%,0.477
24,3PAr,0.255
24,AST%,57.1
24,BLK%,8.5
24,DRtg,104.80000000000001
24,ORtg,108.9
24,STL%,8.4
24,TOV%,15.8
24,TS%,0.534
24,eFG%,0.464
25,3PAr,0.26
25,AST%,55.2
25,BLK%,9.5
25,DRtg,103.25
25,ORtg,106.3
25,STL%,7.9
25,TOV%,15.9
25,TS%,0.514
25,eFG%,0.428
26,3PAr,0.271
26,AST%,50.0
26,BLK%,10.2
26,DRtg,104.1
26,ORtg,105.9
26,STL%,8.1
26,TOV%,16.3
26,TS%,0.513
26,eFG%,0.444
27,3PAr,0.271
27,AST%,55.0
27,BLK%,9.1
27,DRtg,109.15
27,ORtg,109.6
27,STL%,8.2
27,TOV%,16.6
27,TS%,0.527
27,eFG%,0.446
28,3PAr,0.28
28,AST%,53.6
28,BLK%,11.1
28,DRtg,104.15
28,ORtg,104.5
28,STL%,7.4
28,TOV%,17.2
28,TS%,0.521
28,eFG%,0.443
29,3PAr,0.262
29,AST%,48.6
29,BLK%,8.7
29,DRtg,104.5
29,ORtg,105.2
29,STL%,9.3
29,TOV%,14.4
29,TS%,0.517
29,eFG%,0.417
30,3PAr,0.248
30,AST%,51.3
30,BLK%,8.2
30,DRtg,106.75
30,ORtg,105.2
30,STL%,9.1
30,TOV%,16.8
30,TS%,0.524
30,eFG%,0.452
31,3PAr,0.25
31,AST%,51.4
31,BLK%,9.0
31,DRtg,102.6
31,ORtg,105.0
31,STL%,8.7
31,TOV%,18.2
31,TS%,0.503
31,eFG%,0.44
32,3PAr,0.225
32,AST%,54.5
32,BLK%,10.8
32,DRtg,107.25
32,ORtg,106.8
32,STL%,8.3
32,TOV%,15.3
32,TS%,0.518
32,eFG%,0.446
33,3PAr,0.268
33,AST%,51.2
33,BLK%,9.3
33,DRtg,107.0
33,ORtg,105.9
33,STL%,7.9
33,TOV%,17.1
33,TS%,0.522
33,eFG%,0.426
34,3PAr,0.244
34,AST%,55.6
34,BLK%,9.4
34,DRtg,105.15
34,ORtg,105.8
34,STL%,7.5
34,TOV%,16.2
34,TS%,0.513
34,eFG%,0.453
35,3PAr,0.281
35,AST%,54.8
35,BLK%,8.8
35,DRtg,107.05000000000001
35,ORtg,102.7
35,STL%,7.2
35,TOV%,16.2
35,TS%,0.504
35,eFG%,0.407
36,3PAr,0.273
36,AST%,48.3
36,BLK%,9.4
36,DRtg,103.1
36,ORtg,104.5
36,STL%,8.0
36,TOV%,15.8
36,TS%,0.531
36,eFG%,0.4320000000000001
37,3PAr,0.263
37,AST%,54.2
37,BLK%,8.8
37,DRtg,107.1
37,ORtg,109.1
37,STL%,7.8
37,TOV%,15.6
37,TS%,0.53
37,eFG%,0.463
38,3PAr,0.243
38,AST%,54.5
38,BLK%,9.8
38,DRtg,106.45
38,ORtg,109.4
38,STL%,7.4
38,TOV%,14.6
38,TS%,0.53
38,eFG%,0.444
39,3PAr,0.244
39,AST%,46.5
39,BLK%,9.6
39,DRtg,107.4
39,ORtg,105.4
39,STL%,7.5
39,TOV%,14.7
39,TS%,0.521
39,eFG%,0.464
40,3PAr,0.247
40,AST%,53.8
40,BLK%,10.3
40,DRtg,106.6
40,ORtg,105.5
40,STL%,8.8
40,TOV%,15.9
40,TS%,0.527
40,eFG%,0.467
41,3PAr,0.28
41,AST%,55.6
41,BLK%,10.3
41,DRtg,104.95
41,ORtg,104.9
41,STL%,8.6
41,TOV%,15.4
41,TS%,0.513
41,eFG%,0.423
42,3PAr,0.28
42,AST%,57.6
42,BLK%,8.7
42,DRtg,106.2
42,ORtg,104.8
42,STL%,8.6
42,TOV%,17.1
42,TS%,0.517
42,eFG%,0.449
43,3PAr,0.269
43,AST%,51.5
43,BLK%,9.6
43,DRtg,108.5
43,ORtg,101.2
43,STL%,9.6
43,TOV%,15.9
43,TS%,0.508
43,eFG%,0.449
44,3PAr,0.258
44,AST%,52.9
44,BLK%,10.8
44,DRtg,102.15
44,ORtg,104.1
44,STL%,9.3
44,TOV%,16.1
44,TS%,0.537
44,eFG%,0.465
45,3PAr,0.267
45,AST%,50.0
45,BLK%,7.8
45,DRtg,102.9
45,ORtg,106.3
45,STL%,8.1
45,TOV%,16.4
45,TS%,0.523
45,eFG%,0.448
46,3PAr,0.28600000000000003
46,AST%,57.1
46,BLK%,9.7
46,DRtg,100.9
46,ORtg,103.5
46,STL%,8.2
46,TOV%,17.4
46,TS%,0.5379999999999999
46,eFG%,0.42
47,3PAr,0.268
47,AST%,60.0
47,BLK%,10.6
47,DRtg,110.15
47,ORtg,109.0
47,STL%,8.5
47,TOV%,15.6
47,TS%,0.547
47,eFG%,0.482
48,3PAr,0.289
48,AST%,50.0
48,BLK%,8.3
48,DRtg,102.15
48,ORtg,107.3
48,STL%,8.0
48,TOV%,15.1
48,TS%,0.513
48,eFG%,0.42
49,3PAr,0.247
49,AST%,52.5
49,BLK%,8.7
49,DRtg,110.05
49,ORtg,110.8
49,STL%,8.5
49,TOV%,14.0
49,TS%,0.542
49,eFG%,0.452
50,3PAr,0.263
50,AST%,50.0
50,BLK%,9.7
50,DRtg,104.30000000000001
50,ORtg,107.6
50,STL%,7.9
50,TOV%,16.4
50,TS%,0.541
50,eFG%,0.47
51,3PAr,0.28600000000000003
51,AST%,57.25
51,BLK%,10.15
51,DRtg,103.0
51,ORtg,110.0
51,STL%,7.699999999999999
51,TOV%,14.7
51,TS%,0.5065
51,eFG%,0.436
52,3PAr,0.2655
52,AST%,52.7
52,BLK%,7.6
52,DRtg,106.2
52,ORtg,103.6
52,STL%,7.8
52,TOV%,16.25
52,TS%,0.5255000000000001
52,eFG%,0.4355
53,3PAr,0.269
53,AST%,54.9
53,BLK%,8.55
53,DRtg,110.4
53,ORtg,106.65
53,STL%,7.75
53,TOV%,17.25
53,TS%,0.5345
53,eFG%,0.45999999999999996
54,3PAr,0.2585
54,AST%,53.5
54,BLK%,8.7
