Cat,FG%,3PA,3P%,2P%,FTA,TRB,AST,STL,BLK,TOV,Team
Team/G,0.458,37.0,0.374,0.519,23.2,45.4,25.2,8.8,5.0,14.8,TOR
Team/G,0.461,34.5,0.364,0.522,23.2,46.1,23.0,8.3,5.6,13.8,BOS
Team/G,0.468,31.6,0.368,0.524,22.4,45.4,25.8,8.0,5.3,14.2,PHI
Team/G,0.448,38.1,0.343,0.524,24.1,47.9,24.5,6.4,4.5,15.3,BRK
Team/G,0.447,28.4,0.337,0.499,23.5,46.5,22.1,7.6,4.7,14.3,NYK
Team/G,0.476,38.9,0.355,0.567,24.7,51.7,25.9,7.2,5.9,15.1,MIL
Team/G,0.447,35.1,0.348,0.511,20.5,41.9,23.2,10.0,4.1,15.5,CHI
Team/G,0.476,28.0,0.363,0.529,19.1,42.8,25.9,7.4,5.2,13.2,IND
Team/G,0.459,32.7,0.367,0.515,22.4,41.7,24.1,7.4,4.5,15.3,DET
Team/G,0.458,31.8,0.351,0.519,19.9,44.2,23.1,6.9,3.2,16.5,CLE
Team/G,0.468,35.4,0.379,0.532,25.2,44.4,25.9,7.5,4.5,14.9,MIA
Team/G,0.444,32.2,0.343,0.502,22.7,44.5,23.9,8.2,5.4,12.8,ORL
Team/G,0.434,34.3,0.352,0.489,21.6,42.8,23.8,6.6,4.1,14.6,CHO
Team/G,0.457,32.6,0.368,0.506,24.6,42.0,25.0,8.0,4.3,14.2,WAS
Team/G,0.449,36.1,0.333,0.525,23.4,43.3,24.0,7.8,5.1,16.2,ATL
Team/G,0.473,30.6,0.359,0.533,20.9,44.1,26.7,8.0,4.6,13.8,DEN
Team/G,0.468,30.2,0.355,0.529,24.8,42.9,21.7,7.6,4.9,13.7,OKC
Team/G,0.471,35.2,0.38,0.535,22.8,44.9,22.4,6.1,4.1,15.1,UTA
Team/G,0.463,34.1,0.377,0.514,22.1,45.3,20.6,6.3,6.1,12.8,POR
Team/G,0.441,39.7,0.336,0.521,25.4,44.8,23.8,8.7,5.7,15.3,MIN
Team/G,0.48,31.6,0.349,0.552,24.3,45.7,25.4,8.6,6.6,15.2,LAL
Team/G,0.466,33.5,0.371,0.522,26.3,47.7,23.7,7.1,4.7,14.6,LAC
Team/G,0.468,31.8,0.358,0.529,23.8,43.5,27.2,7.7,4.0,14.8,PHO
Team/G,0.462,34.9,0.364,0.527,20.3,42.6,23.8,7.7,4.1,14.5,SAC
Team/G,0.438,31.3,0.334,0.495,23.2,42.8,25.6,8.2,4.6,14.9,GSW
Team/G,0.461,41.3,0.367,0.541,23.8,46.9,24.7,6.1,4.8,12.7,DAL
Team/G,0.451,45.3,0.345,0.557,26.1,44.3,21.6,8.7,5.2,14.7,HOU
Team/G,0.468,31.5,0.347,0.532,21.8,46.5,26.9,7.9,5.5,15.2,MEM
Team/G,0.472,28.5,0.376,0.516,23.4,44.6,24.7,7.3,5.5,12.6,SAS
Team/G,0.465,36.9,0.37,0.528,23.4,46.5,26.8,7.5,5.0,16.4,NOP
