G,variable,value
64.0,FG,0.475
63.0,FG,0.4
62.0,FG,0.325
61.0,FG,0.45
60.0,FG,0.55
59.0,FG,0.425
58.0,FG,0.575
57.0,FG,0.525
56.0,FG,0.4
55.0,FG,0.55
54.0,FG,0.575
53.0,FG,0.375
52.0,FG,0.4
51.0,FG,0.375
50.0,FG,0.6
49.0,FG,0.65
48.0,FG,0.4
47.0,FG,0.5
46.0,FG,0.425
45.0,FG,0.475
44.0,FG,0.45
43.0,FG,0.575
42.0,FG,0.75
41.0,FG,0.5
40.0,FG,0.525
39.0,FG,0.475
38.0,FG,0.425
37.0,FG,0.825
36.0,FG,0.4
35.0,FG,0.375
34.0,FG,0.275
33.0,FG,0.525
32.0,FG,0.475
31.0,FG,0.55
30.0,FG,0.225
29.0,FG,0.675
28.0,FG,0.6
27.0,FG,0.6
26.0,FG,0.575
25.0,FG,0.325
24.0,FG,0.5
23.0,FG,0.525
22.0,FG,0.575
21.0,FG,0.55
20.0,FG,0.325
19.0,FG,0.475
18.0,FG,0.475
17.0,FG,0.525
16.0,FG,0.4
15.0,FG,0.275
14.0,FG,0.475
13.0,FG,0.375
12.0,FG,0.3
11.0,FG,0.375
10.0,FG,0.675
9.0,FG,0.475
8.0,FG,0.65
7.0,FG,0.45
6.0,FG,0.65
5.0,FG,0.275
4.0,FG,0.475
3.0,FG,0.5
2.0,FG,0.5
1.0,FG,0.275
82.0,FG,0.575
81.0,FG,0.5
80.0,FG,0.65
79.0,FG,0.4
78.0,FG,0.35
77.0,FG,0.325
76.0,FG,0.55
75.0,FG,0.6
74.0,FG,0.4
73.0,FG,0.55
72.0,FG,0.575
71.0,FG,0.425
70.0,FG,0.55
69.0,FG,0.675
68.0,FG,0.55
67.0,FG,0.65
66.0,FG,0.45
65.0,FG,0.675
64.0,FG,0.375
63.0,FG,0.5
62.0,FG,0.45
61.0,FG,0.275
60.0,FG,0.575
59.0,FG,0.425
58.0,FG,0.575
57.0,FG,0.475
56.0,FG,0.425
55.0,FG,0.6
54.0,FG,0.45
53.0,FG,0.8
52.0,FG,0.6
51.0,FG,0.7
50.0,FG,0.575
49.0,FG,0.475
48.0,FG,0.575
47.0,FG,0.525
46.0,FG,0.425
45.0,FG,0.55
44.0,FG,0.6
43.0,FG,0.375
42.0,FG,0.4
41.0,FG,0.35
40.0,FG,0.7
39.0,FG,0.625
38.0,FG,0.5
37.0,FG,0.575
36.0,FG,0.525
35.0,FG,0.45
34.0,FG,0.4
33.0,FG,0.575
32.0,FG,0.525
31.0,FG,0.325
30.0,FG,0.4
29.0,FG,0.425
28.0,FG,0.6
27.0,FG,0.625
26.0,FG,0.55
25.0,FG,0.7
24.0,FG,0.675
23.0,FG,0.45
22.0,FG,0.675
21.0,FG,0.65
20.0,FG,0.475
19.0,FG,0.5
18.0,FG,0.4
17.0,FG,0.575
16.0,FG,0.325
15.0,FG,0.625
14.0,FG,0.5
13.0,FG,0.35
12.0,FG,0.425
11.0,FG,0.425
10.0,FG,0.55
9.0,FG,0.4
8.0,FG,0.475
7.0,FG,0.375
6.0,FG,0.425
5.0,FG,0.275
4.0,FG,0.375
3.0,FG,0.275
2.0,FG,0.45
1.0,FG,0.5
82.0,FG,0.6
81.0,FG,0.275
80.0,FG,0.5
79.0,FG,0.575
78.0,FG,0.075
77.0,FG,0.4
76.0,FG,0.45
75.0,FG,0.325
74.0,FG,0.375
73.0,FG,0.45
72.0,FG,0.325
71.0,FG,0.35
70.0,FG,0.325
69.0,FG,0.225
68.0,FG,0.65
67.0,FG,0.3
66.0,FG,0.525
65.0,FG,0.475
64.0,FG,0.55
63.0,FG,0.8
62.0,FG,0.425
61.0,FG,0.5
60.0,FG,0.475
59.0,FG,0.5
58.0,FG,0.35
57.0,FG,0.3
56.0,FG,0.425
55.0,FG,0.275
54.0,FG,0.325
53.0,FG,0.575
52.0,FG,0.45
51.0,FG,0.525
50.0,FG,0.375
49.0,FG,0.425
48.0,FG,0.5
47.0,FG,0.375
46.0,FG,0.2
45.0,FG,0.45
44.0,FG,0.525
43.0,FG,0.375
42.0,FG,0.4
41.0,FG,0.475
40.0,FG,0.425
39.0,FG,0.375
38.0,FG,0.375
37.0,FG,0.425
36.0,FG,0.55
35.0,FG,0.275
34.0,FG,0.2
33.0,FG,0.55
32.0,FG,0.425
31.0,FG,0.325
30.0,FG,0.625
29.0,FG,0.275
28.0,FG,0.275
27.0,FG,0.4
26.0,FG,0.35
25.0,FG,0.525
24.0,FG,0.5
23.0,FG,0.45
22.0,FG,0.45
21.0,FG,0.575
20.0,FG,0.5
19.0,FG,0.325
18.0,FG,0.4
17.0,FG,0.425
16.0,FG,0.1
15.0,FG,0.425
14.0,FG,0.325
13.0,FG,0.2
12.0,FG,0.4
11.0,FG,0.425
10.0,FG,0.425
9.0,FG,0.35
8.0,FG,0.45
7.0,FG,0.5
6.0,FG,0.3
5.0,FG,0.275
4.0,FG,0.375
3.0,FG,0.325
2.0,FG,0.425
1.0,FG,0.35
82.0,FG,0.475
81.0,FG,0.475
80.0,FG,0.575
79.0,FG,0.375
78.0,FG,0.275
77.0,FG,0.45
76.0,FG,0.4
75.0,FG,0.325
74.0,FG,0.475
73.0,FG,0.55
72.0,FG,0.525
71.0,FG,0.45
70.0,FG,0.3
69.0,FG,0.3
68.0,FG,0.525
67.0,FG,0.45
66.0,FG,0.3
65.0,FG,0.375
64.0,FG,0.3
63.0,FG,0.25
62.0,FG,0.525
61.0,FG,0.35
60.0,FG,0.3
