Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,G,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
2020-03-10,240.0,41,93.0,0.441,13,37.0,0.35100000000000003,19.0,22.0,0.8640000000000001,11.0,35.0,46.0,19.0,9.0,4.0,8.0,15.0,114.0,,0.555,0.511,0.39799999999999996,0.237,25.0,77.8,51.7,46.3,9.3,5.8,7.2,100.0,117.5,114.4,,64.0,7:00p,,Box Score,@,Indiana Pacers,W,,114.0,111.0,43.0,21.0,W 1,
2020-03-08,240.0,38,92.0,0.413,13,37.0,0.35100000000000003,15.0,19.0,0.789,11.0,35.0,46.0,22.0,9.0,5.0,13.0,25.0,104.0,,0.518,0.484,0.402,0.207,23.9,89.7,54.1,57.9,8.9,9.3,11.5,100.0,102.7,103.7,,63.0,6:00p,,Box Score,,Oklahoma City Thunder,L,,104.0,105.0,42.0,21.0,L 2,
2020-03-06,240.0,35,94.0,0.37200000000000005,10,36.0,0.278,14.0,18.0,0.778,13.0,32.0,45.0,19.0,6.0,6.0,12.0,13.0,94.0,,0.461,0.426,0.38299999999999995,0.191,28.9,80.0,52.9,54.3,6.4,17.1,10.5,100.0,99.8,105.1,,62.0,8:00p,,Box Score,,Utah Jazz,L,,94.0,99.0,42.0,20.0,L 1,
2020-03-04,240.0,40,86.0,0.465,11,30.0,0.36700000000000005,21.0,26.0,0.8079999999999999,13.0,36.0,49.0,16.0,10.0,7.0,11.0,20.0,112.0,,0.575,0.529,0.349,0.302,28.3,67.9,49.5,40.0,10.8,13.7,10.1,100.0,120.9,114.4,,61.0,7:00p,,Box Score,@,Cleveland Cavaliers,W,,112.0,106.0,42.0,19.0,W 1,
2020-03-03,265.0,44,103.0,0.42700000000000005,15,49.0,0.306,17.0,23.0,0.7390000000000001,13.0,29.0,42.0,24.0,10.0,6.0,15.0,30.0,120.0,,0.53,0.5,0.47600000000000003,0.223,24.1,56.9,40.0,54.5,9.1,11.8,11.7,100.0,108.7,116.8,,60.0,7:30p,,Box Score,,Brooklyn Nets,L,OT,120.0,129.0,41.0,19.0,L 2,
2020-02-29,265.0,39,100.0,0.39,13,42.0,0.31,19.0,25.0,0.76,14.0,40.0,54.0,22.0,11.0,6.0,14.0,18.0,110.0,,0.495,0.455,0.42,0.25,25.5,76.9,50.5,56.4,10.3,14.0,11.2,100.0,102.6,103.5,,59.0,8:30p,,Box Score,,Houston Rockets,L,OT,110.0,111.0,41.0,18.0,L 1,
2020-02-26,240.0,45,84.0,0.536,11,26.0,0.423,13.0,16.0,0.813,9.0,35.0,44.0,21.0,7.0,4.0,8.0,17.0,114.0,,0.626,0.601,0.31,0.19,24.3,72.9,51.8,46.7,7.9,8.2,8.1,100.0,128.1,115.7,,58.0,10:30p,,Box Score,@,Utah Jazz,W,,114.0,103.0,41.0,17.0,W 2,
2020-02-25,240.0,43,90.0,0.478,19,39.0,0.48700000000000004,13.0,14.0,0.929,8.0,37.0,45.0,19.0,6.0,3.0,14.0,19.0,118.0,,0.614,0.583,0.433,0.156,19.5,82.2,52.3,44.2,5.9,5.6,12.7,100.0,116.8,104.9,,57.0,10:00p,,Box Score,@,Portland Trail Blazers,W,,118.0,106.0,40.0,17.0,W 1,
2020-02-23,240.0,38,83.0,0.45799999999999996,13,34.0,0.382,23.0,30.0,0.767,8.0,36.0,44.0,20.0,7.0,3.0,17.0,29.0,112.0,,0.5820000000000001,0.536,0.41,0.361,18.6,76.6,48.9,52.6,6.8,5.8,15.0,100.0,109.2,111.2,,56.0,3:30p,,Box Score,@,Los Angeles Lakers,L,,112.0,114.0,39.0,17.0,L 1,
2020-02-21,240.0,44,95.0,0.46299999999999997,10,29.0,0.345,29.0,37.0,0.784,16.0,42.0,58.0,21.0,5.0,6.0,10.0,26.0,127.0,,0.5710000000000001,0.516,0.305,0.389,31.4,84.0,57.4,47.7,4.9,12.8,8.2,100.0,124.1,114.4,,55.0,8:00p,,Box Score,@,Minnesota Timberwolves,W,,127.0,117.0,39.0,16.0,W 2,
