,date,reading,warning
0,2019-04-05 10:01:06,98, Moderate
1,2019-04-05 11:01:22,88, Moderate
2,2019-04-05 12:01:00,79, Moderate
3,2019-04-05 13:01:00,76, Moderate
4,2019-04-05 14:00:00,74, Moderate
5,2019-04-05 15:01:00,73, Moderate
6,2019-04-05 16:01:00,82, Moderate
7,2019-04-05 17:01:00,78, Moderate
8,2019-04-05 18:01:00,64, Moderate
9,2019-04-05 19:01:00,65, Moderate
10,2019-04-05 20:01:00,64, Moderate
11,2019-04-05 21:01:00,65, Moderate
12,2019-04-05 22:00:00,61, Moderate
13,2019-04-05 23:00:00,58, Moderate
14,2019-04-06 00:01:00,97, Moderate
15,2019-04-06 01:00:00,97, Moderate
16,2019-04-06 02:01:00,140, Unhealthy for Sensitive Groups
17,2019-04-06 03:01:00,132, Unhealthy for Sensitive Groups
18,2019-04-06 04:01:00,132, Unhealthy for Sensitive Groups
19,2019-04-06 05:01:00,123, Unhealthy for Sensitive Groups
20,2019-04-06 06:01:00,127, Unhealthy for Sensitive Groups
21,2019-04-06 07:01:00,147, Unhealthy for Sensitive Groups
22,2019-04-06 08:01:00,154, Unhealthy
23,2019-04-06 09:01:00,155, Unhealthy
24,2019-04-06 10:00:00,155, Unhealthy
25,2019-04-06 11:01:00,117, Unhealthy for Sensitive Groups
26,2019-04-06 12:00:00,106, Unhealthy for Sensitive Groups
27,2019-04-06 13:01:00,86, Moderate
28,2019-04-06 14:00:00,74, Moderate
29,2019-04-06 15:01:00,66, Moderate
30,2019-04-06 16:01:00,62, Moderate
31,2019-04-06 17:01:00,57, Moderate
32,2019-04-06 18:01:00,56, Moderate
33,2019-04-06 19:00:00,51, Moderate
34,2019-04-06 20:01:00,53, Moderate
35,2019-04-06 21:00:00,57, Moderate
36,2019-04-06 22:00:00,59, Moderate
37,2019-04-06 23:00:00,58, Moderate
38,2019-04-07 00:01:00,59, Moderate
39,2019-04-07 01:01:00,64, Moderate
40,2019-04-07 02:00:00,90, Moderate
41,2019-04-07 03:01:00,108, Unhealthy for Sensitive Groups
42,2019-04-07 04:01:00,116, Unhealthy for Sensitive Groups
43,2019-04-07 05:01:00,126, Unhealthy for Sensitive Groups
44,2019-04-07 06:01:00,128, Unhealthy for Sensitive Groups
45,2019-04-07 07:01:00,121, Unhealthy for Sensitive Groups
46,2019-04-07 08:01:00,118, Unhealthy for Sensitive Groups
47,2019-04-07 09:01:00,115, Unhealthy for Sensitive Groups
48,2019-04-07 10:00:00,99, Moderate
49,2019-04-07 11:01:00,78, Moderate
50,2019-04-07 12:01:00,67, Moderate
51,2019-04-07 13:01:00,59, Moderate
52,2019-04-07 14:01:00,54, Moderate
53,2019-04-07 15:01:00,46, Good
54,2019-04-07 16:01:00,42, Good
55,2019-04-07 17:01:00,50, Good
