Number,Count
0,269
1,619
2,563
3,788
4,741
5,843
6,490
7,705
8,633
9,575
10,788
11,827
12,835
13,509
14,682
15,740
16,282
17,349
18,278
19,190
20,782
21,774
22,680
23,589
24,671
25,581
26,89
27,134
28,78
29,50
30,506
31,547
32,592
33,672
34,619
35,445
36,46
37,10
38,14
39,11
40,419
41,294
42,525
43,290
44,576
45,322
46,12
47,20
48,4
49,6
50,309
51,84
52,226
53,132
54,249
55,262
56,5
57,1
58,0
59,0
60,1
61,2
62,3
63,1
64,0
65,1
66,2
67,3
68,0
69,0
70,5
71,3
72,2
73,1
74,0
75,0
76,3
77,30
78,0
79,0
80,0
81,3
82,0
83,1
84,2
85,2
86,2
87,0
88,16
89,2
90,11
91,6
92,8
93,4
94,2
95,5
96,2
97,0
98,3
99,15
