name,Season,Age,Team,League,Position,Games,Starts,MPG,FGPG,FGAPG,FG%,3PPG,3PAPG,3P%,2PPG,2PAPG,2P%,eFG%,FTPG,FTAPG,FT%,ORBPG,DRBPG,TRBPG,APG,SPG,BPG,TPG,FoulsPG,PPG,final_season,age,url,season
Kareem Abdul-Jabbar,Career,,,NBA,,1560.0,625.0,36.8,10.2,18.1,0.5589999999999999,0.0,0.0,0.056,10.2,18.1,0.56,0.5589999999999999,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6,1988-89,41.0,https://www.basketball-reference.com/players/a/abdulka01.html,1988.0
Kobe Bryant,Career,,,NBA,,1346.0,1198.0,36.1,8.7,19.5,0.447,1.4,4.1,0.329,7.3,15.3,0.479,0.482,6.2,7.4,0.8370000000000001,1.1,4.1,5.2,4.7,1.4,0.5,3.0,2.5,25.0,2015-16,37.0,https://www.basketball-reference.com/players/b/bryanko01.html,2015.0
Julius Erving,Career,,,TOT,,1243.0,442.0,36.4,9.5,18.8,0.506,0.1,0.4,0.298,9.4,18.4,0.51,0.509,5.0,6.5,0.777,3.0,5.5,8.5,4.2,2.0,1.7,3.4,2.8,24.2,1986-87,36.0,https://www.basketball-reference.com/players/e/ervinju01.html,1986.0
LeBron James,Career,,,NBA,,1258.0,1257.0,38.4,9.9,19.6,0.504,1.5,4.3,0.344,8.4,15.3,0.5489999999999999,0.542,5.9,8.0,0.735,1.2,6.2,7.4,7.4,1.6,0.8,3.5,1.8,27.1,,,,
Tim Duncan,Career,,,NBA,,1392.0,1389.0,34.0,7.4,14.6,0.506,0.0,0.1,0.179,7.4,14.5,0.509,0.507,4.2,6.1,0.696,2.8,8.1,10.8,3.0,0.7,2.2,2.4,2.4,19.0,2015-16,39.0,https://www.basketball-reference.com/players/d/duncati01.html,2015.0
Kevin Garnett,Career,,,NBA,,1462.0,1425.0,34.5,7.2,14.5,0.4970000000000001,0.1,0.4,0.275,7.1,14.0,0.504,0.501,3.3,4.2,0.789,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,17.8,2015-16,39.0,https://www.basketball-reference.com/players/g/garneke01.html,2015.0
Shaquille O'Neal,Career,,,NBA,,1207.0,1197.0,34.7,9.4,16.1,0.5820000000000001,0.0,0.0,0.045,9.4,16.1,0.583,0.5820000000000001,4.9,9.3,0.527,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,2010-11,38.0,https://www.basketball-reference.com/players/o/onealsh01.html,2010.0
Michael Jordan,Career,,,NBA,,1072.0,1039.0,38.3,11.4,22.9,0.49700000000000005,0.5,1.7,0.327,10.8,21.2,0.51,0.509,6.8,8.2,0.835,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,2002-03,39.0,https://www.basketball-reference.com/players/j/jordami01.html,2002.0
Karl Malone,Career,,,NBA,,1476.0,1471.0,37.2,9.2,17.8,0.516,0.1,0.2,0.274,9.1,17.5,0.519,0.518,6.6,8.9,0.742,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25.0,2003-04,40.0,https://www.basketball-reference.com/players/m/malonka01.html,2003.0
Dirk Nowitzki,Career,,,NBA,,1522.0,1460.0,33.8,7.3,15.6,0.471,1.3,3.4,0.38,6.0,12.2,0.496,0.512,4.8,5.4,0.879,1.0,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,,,,
Jerry West,Career,,,NBA,,932.0,,39.2,9.7,20.4,0.474,7.7,9.4,0.8140000000000001,1.0,2.8,5.8,6.7,2.6,0.7,2.6,27.0,,,,,,,,,1973-74,35.0,https://www.basketball-reference.com/players/w/westje01.html,1973.0
Wilt Chamberlain,Career,,,NBA,,1045.0,,45.8,12.1,22.5,0.54,5.8,11.4,0.511,22.9,4.4,2.0,30.1,,,,,,,,,,,,,1972-73,36.0,https://www.basketball-reference.com/players/c/chambwi01.html,1972.0
Bob Cousy,Career,,,NBA,,924.0,,35.3,6.7,17.8,0.375,5.0,6.2,0.8029999999999999,5.2,7.5,2.4,18.4,,,,,,,,,,,,,1969-70,41.0,https://www.basketball-reference.com/players/c/cousybo01.html,1969.0
John Havlicek,Career,,,NBA,,1270.0,,36.6,8.3,18.8,0.439,4.2,5.2,0.815,1.5,3.5,6.3,4.8,1.2,0.3,2.5,2.6,20.8,,,,,,,,1977-78,37.0,https://www.basketball-reference.com/players/h/havlijo01.html,1977.0
Moses Malone,Career,,,TOT,,1455.0,784.0,34.0,7.1,14.3,0.495,0.0,0.1,0.096,7.1,14.2,0.4970000000000001,0.495,6.2,8.2,0.76,5.1,7.2,12.3,1.3,0.8,1.3,3.1,2.4,20.3,1994-95,39.0,https://www.basketball-reference.com/players/m/malonmo01.html,1994.0
Dwyane Wade,Career,,,NBA,,1054.0,909.0,33.9,8.0,16.7,0.48,0.5,1.8,0.293,7.5,14.9,0.502,0.495,5.4,7.1,0.765,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0,,,,
Rick Barry,Career,,,TOT,,1020.0,,37.4,9.5,20.9,0.456,0.6,2.0,0.297,9.3,20.3,0.46,0.46,5.6,6.3,0.893,1.3,4.6,6.7,4.9,2.0,0.5,3.0,3.0,24.8,1979-80,35.0,https://www.basketball-reference.com/players/b/barryri01.html,1979.0
Larry Bird,Career,,,NBA,,897.0,870.0,38.4,9.6,19.3,0.496,0.7,1.9,0.376,8.9,17.4,0.509,0.514,4.4,5.0,0.8859999999999999,2.0,8.0,10.0,6.3,1.7,0.8,3.1,2.5,24.3,1991-92,35.0,https://www.basketball-reference.com/players/b/birdla01.html,1991.0
George Gervin,Career,,,TOT,,1060.0,377.0,33.6,9.8,19.4,0.504,0.1,0.6,0.271,9.7,19.0,0.509,0.507,5.4,6.4,0.841,1.7,3.6,5.3,2.6,1.2,1.0,3.0,3.1,25.1,1985-86,33.0,https://www.basketball-reference.com/players/g/gervige01.html,1985.0
Elvin Hayes,Career,,,NBA,,1303.0,129.0,38.4,8.4,18.6,0.452,0.0,0.1,0.147,8.4,18.6,0.453,0.452,4.1,6.1,0.67,3.1,7.8,12.5,1.8,1.0,2.0,2.4,3.2,21.0,1983-84,38.0,https://www.basketball-reference.com/players/h/hayesel01.html,1983.0
Magic Johnson,Career,,,NBA,,906.0,763.0,36.7,6.9,13.2,0.52,0.4,1.2,0.303,6.5,12.0,0.541,0.5329999999999999,5.5,6.5,0.848,1.8,5.5,7.2,11.2,1.9,0.4,3.9,2.3,19.5,1995-96,36.0,https://www.basketball-reference.com/players/j/johnsma02.html,1995.0
Hakeem Olajuwon,Career,,,NBA,,1238.0,1186.0,35.7,8.7,17.0,0.512,0.0,0.1,0.202,8.7,16.9,0.514,0.513,4.4,6.2,0.7120000000000001,3.3,7.8,11.1,2.5,1.7,3.1,3.0,3.5,21.8,2001-02,39.0,https://www.basketball-reference.com/players/o/olajuha01.html,2001.0
Oscar Robertson,Career,,,NBA,,1040.0,,42.2,9.1,18.9,0.485,7.4,8.8,0.838,1.0,3.0,7.5,9.5,1.1,0.1,2.8,25.7,,,,,,,,,1973-74,35.0,https://www.basketball-reference.com/players/r/roberos01.html,1973.0
Bill Russell,Career,,,NBA,,963.0,,42.3,5.9,13.4,0.44,3.3,5.8,0.561,22.5,4.3,2.7,15.1,,,,,,,,,,,,,1968-69,34.0,https://www.basketball-reference.com/players/r/russebi01.html,1968.0
Dolph Schayes,Career,,,NBA,,996.0,,34.4,5.9,15.5,0.38,6.7,7.9,0.8490000000000001,12.1,3.1,3.4,18.5,,,,,,,,,,,,,1963-64,35.0,https://www.basketball-reference.com/players/s/schaydo01.html,1963.0
Isiah Thomas,Career,,,NBA,,979.0,971.0,36.3,7.3,16.2,0.452,0.4,1.4,0.29,6.9,14.8,0.468,0.465,4.1,5.4,0.759,1.0,2.6,3.6,9.3,1.9,0.3,3.8,3.0,19.2,1993-94,32.0,https://www.basketball-reference.com/players/t/thomais01.html,1993.0
Charles Barkley,Career,,,NBA,,1073.0,1012.0,36.7,7.9,14.5,0.541,0.5,1.9,0.266,7.4,12.7,0.581,0.5579999999999999,5.9,8.1,0.735,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,1999-00,36.0,https://www.basketball-reference.com/players/b/barklch01.html,1999.0
Elgin Baylor,Career,,,NBA,,846.0,,40.0,10.3,23.8,0.431,6.8,8.7,0.78,13.5,4.3,3.1,27.4,,,,,,,,,,,,,1971-72,37.0,https://www.basketball-reference.com/players/b/bayloel01.html,1971.0
Chris Bosh,Career,,,NBA,,893.0,881.0,35.8,7.0,14.1,0.494,0.3,1.0,0.335,6.6,13.1,0.506,0.506,5.0,6.3,0.799,2.2,6.3,8.5,2.0,0.8,1.0,2.0,2.4,19.2,2015-16,31.0,https://www.basketball-reference.com/players/b/boshch01.html,2015.0
