Season,Team,Salary,W,L,W/L%,Salary cap
2018-19,Miami Heat,153171497,39,43,0.47600000000000003,101869000 
2018-19,Golden State Warriors,146291276,57,25,0.695,101869000 
2018-19,Oklahoma City Thunder,144916427,49,33,0.598,101869000 
2018-19,Toronto Raptors,137793831,58,24,0.7070000000000001,101869000 
2018-19,Milwaukee Bucks,130988604,60,22,0.732,101869000 
2018-19,Portland Trail Blazers,130256600,53,29,0.6459999999999999,101869000 
2018-19,Detroit Pistons,126557932,41,41,0.5,101869000 
2018-19,Houston Rockets,126474100,53,29,0.6459999999999999,101869000 
2018-19,Memphis Grizzlies,126107461,33,49,0.402,101869000 
2018-19,Boston Celtics,125334993,49,33,0.598,101869000 
2018-19,Washington Wizards,123747588,32,50,0.39,101869000 
2018-19,New York Knicks,123387454,17,65,0.207,101869000 
2018-19,Cleveland Cavaliers,123255073,19,63,0.23199999999999998,101869000 
2018-19,Minnesota Timberwolves,121962221,36,46,0.439,101869000 
2018-19,San Antonio Spurs,121588790,48,34,0.585,101869000 
2018-19,Charlotte Hornets,121427859,39,43,0.47600000000000003,101869000 
2018-19,Brooklyn Nets,118850600,42,40,0.512,101869000 
2018-19,Denver Nuggets,118327016,54,28,0.659,101869000 
2018-19,Los Angeles Clippers,118026816,48,34,0.585,101869000 
2018-19,New Orleans Pelicans,116052756,33,49,0.402,101869000 
2018-19,Philadelphia 76ers,115127167,51,31,0.622,101869000 
2018-19,Orlando Magic,114394213,42,40,0.512,101869000 
2018-19,Utah Jazz,113826156,50,32,0.61,101869000 
2018-19,Chicago Bulls,112598201,22,60,0.268,101869000 
2018-19,Indiana Pacers,110724804,48,34,0.585,101869000 
2018-19,Phoenix Suns,108692835,19,63,0.23199999999999998,101869000 
2018-19,Los Angeles Lakers,107225482,37,45,0.451,101869000 
2018-19,Sacramento Kings,101466920,39,43,0.47600000000000003,101869000 
2018-19,Dallas Mavericks,86958881,33,49,0.402,101869000 
2018-19,Atlanta Hawks,79180081,29,53,0.354,101869000 
2017-18,Cleveland Cavaliers,137722926,50,32,0.61,99093000 
2017-18,Golden State Warriors,137610134,58,24,0.7070000000000001,99093000 
2017-18,Oklahoma City Thunder,134534640,48,34,0.585,99093000 
2017-18,Miami Heat,133624374,44,38,0.537,99093000 
2017-18,Washington Wizards,123306396,43,39,0.524,99093000 
2017-18,New Orleans Pelicans,120814452,48,34,0.585,99093000 
2017-18,Milwaukee Bucks,120521249,44,38,0.537,99093000 
2017-18,Houston Rockets,119905532,65,17,0.7929999999999999,99093000 
2017-18,Detroit Pistons,119773191,39,43,0.47600000000000003,99093000 
2017-18,Los Angeles Clippers,119093010,42,40,0.512,99093000 
2017-18,Portland Trail Blazers,118708146,49,33,0.598,99093000 
2017-18,Charlotte Hornets,117382664,36,46,0.439,99093000 
2017-18,Toronto Raptors,116929373,59,23,0.72,99093000 
2017-18,Minnesota Timberwolves,116075131,47,35,0.573,99093000 
2017-18,Boston Celtics,115284776,55,27,0.6709999999999999,99093000 
2017-18,San Antonio Spurs,114633844,47,35,0.573,99093000 
2017-18,Memphis Grizzlies,110700149,22,60,0.268,99093000 
2017-18,Denver Nuggets,107543599,46,36,0.561,99093000 
2017-18,Utah Jazz,105606838,48,34,0.585,99093000 
2017-18,New York Knicks,105403130,29,53,0.354,99093000 
2017-18,Los Angeles Lakers,103126557,35,47,0.42700000000000005,99093000 
2017-18,Philadelphia 76ers,100797386,52,30,0.634,99093000 
2017-18,Atlanta Hawks,99992696,24,58,0.293,99093000 
2017-18,Sacramento Kings,99587185,27,55,0.32899999999999996,99093000 
2017-18,Orlando Magic,99366925,25,57,0.305,99093000 
2017-18,Brooklyn Nets,95475397,28,54,0.341,99093000 
2017-18,Indiana Pacers,95271736,48,34,0.585,99093000 
2017-18,Phoenix Suns,92684083,21,61,0.256,99093000 
2017-18,Chicago Bulls,90466801,27,55,0.32899999999999996,99093000 
2017-18,Dallas Mavericks,85440245,24,58,0.293,99093000 
2016-17,Cleveland Cavaliers,128522489,51,31,0.622,94143000 
2016-17,Portland Trail Blazers,119732234,41,41,0.5,94143000 
2016-17,Los Angeles Clippers,114756766,51,31,0.622,94143000 
2016-17,San Antonio Spurs,112017779,61,21,0.7440000000000001,94143000 
2016-17,Memphis Grizzlies,110083520,43,39,0.524,94143000 
2016-17,Toronto Raptors,108599970,51,31,0.622,94143000 
2016-17,Detroit Pistons,106492988,37,45,0.451,94143000 
2016-17,Orlando Magic,104096951,29,53,0.354,94143000 
2016-17,Washington Wizards,104016580,49,33,0.598,94143000 
2016-17,Charlotte Hornets,103054004,36,46,0.439,94143000 
2016-17,New York Knicks,102593418,31,51,0.37799999999999995,94143000 
2016-17,Dallas Mavericks,102354966,33,49,0.402,94143000 
2016-17,New Orleans Pelicans,101616451,34,48,0.415,94143000 
2016-17,Golden State Warriors,101584835,67,15,0.8170000000000001,94143000 
2016-17,Miami Heat,100740770,41,41,0.5,94143000 
2016-17,Atlanta Hawks,96315163,43,39,0.524,94143000 
2016-17,Milwaukee Bucks,96245877,42,40,0.512,94143000 
2016-17,Sacramento Kings,95596327,32,50,0.39,94143000 
2016-17,Los Angeles Lakers,94781848,26,56,0.317,94143000 
2016-17,Boston Celtics,93465326,53,29,0.6459999999999999,94143000 
2016-17,Chicago Bulls,92522306,41,41,0.5,94143000 
2016-17,Oklahoma City Thunder,91230089,47,35,0.573,94143000 
2016-17,Houston Rockets,90956067,55,27,0.6709999999999999,94143000 
2016-17,Indiana Pacers,90279072,42,40,0.512,94143000 
2016-17,Phoenix Suns,89754590,24,58,0.293,94143000 
2016-17,Philadelphia 76ers,84775343,28,54,0.341,94143000 
2016-17,Denver Nuggets,83836460,40,42,0.488,94143000 
2016-17,Minnesota Timberwolves,83527580,31,51,0.37799999999999995,94143000 
