station,longitude,latitude,measurementhour,measurementdate,Particle PM10,Particle PM2.5,Visibility,Sulfur dioxide,Nitrogen dioxide,Carbon monoxide,Ozone,Particles TSP
Moranbah (Utah Dr),148.071,-21.9995,11,2020-11-08,44.6,35.2,,,,,,
Emerald,148.165,-23.5208,11,2020-11-08,54.4,44.8,,,,,,
West Mackay,149.155,-21.1595,11,2020-11-08,52.8,42.0,11.9,,,,,
Moranbah (Cunningham Way),148.042,-22.0112,11,2020-11-08,60.0,38.8,,,,,,
Blackwater,148.881,-23.5627,11,2020-11-08,47.8,40.8,,,,,,
Targinie,151.105,-23.7744,11,2020-11-08,51.8,47.6,6.0,0.0,0.0,,,
Clinton,151.222,-23.8701,11,2020-11-08,52.4,44.4,5.5,1.0,1.7,,,
South Gladstone,151.27,-23.8626,11,2020-11-08,54.4,43.2,5.5,12.0,10.0,,,
Auckland Point,151.254,-23.8351,11,2020-11-08,55.8,,,,,,,
Boyne Island,151.351,-23.9408,11,2020-11-08,39.8,34.0,7.7,0.5,0.0,0.0,,
Fisherman's Landing,151.16,-23.7937,11,2020-11-08,62.2,41.2,8.1,0.0,0.0,,,
Boat Creek,151.154,-23.8199,11,2020-11-08,49.4,41.6,6.4,0.0,0.8,,,
The Gap,139.498,-20.7264,11,2020-11-08,31.4,,,0.0,,,,
Flinders View,152.774,-27.6528,11,2020-11-08,42.2,,3.8,0.0,0.8,,25.0,
North Maclean,153.03,-27.7708,11,2020-11-08,,,,,0.8,,26.0,
Southport,153.40200000000002,-27.9612,11,2020-11-08,26.8,16.4,,,0.8,,26.0,
Woolloongabba,153.035,-27.4975,11,2020-11-08,33.2,24.4,,,9.2,0.0,,
Wynnum,153.158,-27.4296,11,2020-11-08,24.4,12.4,,0.0,0.0,,,
Wynnum West,153.15,-27.4379,11,2020-11-08,23.2,10.8,,1.0,,,,
Mutdapilly,152.651,-27.7528,11,2020-11-08,,,,,0.8,,25.0,
South Brisbane,153.032,-27.4848,11,2020-11-08,41.2,26.0,,,5.8,0.0,,
Springwood,153.136,-27.6125,11,2020-11-08,34.8,16.4,,0.5,0.0,,28.0,
Rocklea,152.993,-27.5358,11,2020-11-08,26.8,19.2,6.8,,0.8,,29.0,
Lytton,153.153,-27.4065,11,2020-11-08,30.6,15.6,,1.0,,,,
Deception Bay,153.158,-27.4296,11,2020-11-08,,,,,0.8,,26.0,
Brisbane CBD,153.028,-27.4774,11,2020-11-08,36.0,26.0,6.0,,,,,
Cannon Hill,153.08700000000002,-27.4654,11,2020-11-08,30.0,25.2,,,,,25.0,31.8
Mountain Creek,153.10399999999998,-26.6917,11,2020-11-08,39.6,,8.9,,1.7,,25.0,
Hopeland,0.0,0.0,11,2020-11-08,30.0,43.6,,,0.0,1.1,24.0,22.5
Miles Airport,0.0,0.0,11,2020-11-08,43.8,48.4,,,1.7,0.0,34.0,39.8
Upper Humbug,150.4,-27.0908,11,2020-11-08,46.4,62.0,,,0.0,1.1,24.0,37.6
Lennon Drive,146.826,-19.2589,11,2020-11-08,24.6,,,,,,,29.2
Coastguard,146.827,-19.2526,11,2020-11-08,27.2,,,,,,,19.0
Environment Park,146.83100000000002,-19.2629,11,2020-11-08,33.8,,,,,,,
North Ward,146.80700000000002,-19.2509,11,2020-11-08,31.6,20.8,5.5,0.0,0.8,,,
Moranbah (Utah Dr),148.071,-21.9995,12,2020-11-08,45.2,36.8,,,,,,
Emerald,148.165,-23.5208,12,2020-11-08,53.8,44.4,,,,,,
West Mackay,149.155,-21.1595,12,2020-11-08,53.8,42.8,11.9,,,,,
Moranbah (Cunningham Way),148.042,-22.0112,12,2020-11-08,60,40,,,,,,
Blackwater,148.881,-23.5627,12,2020-11-08,48,41.6,,,,,,
Targinie,151.105,-23.7744,12,2020-11-08,50.8,46,6.8,0,0,,,
Clinton,151.222,-23.8701,12,2020-11-08,52,42.8,5.1,1,1.7,,,
South Gladstone,151.27,-23.8626,12,2020-11-08,54.6,43.2,4.7,19,10.8,,,
Auckland Point,151.254,-23.8351,12,2020-11-08,55.2,,,,,,,
Boyne Island,151.351,-23.9408,12,2020-11-08,39.6,33.6,6.8,0,0,0,,
Fisherman's Landing,151.16,-23.7937,12,2020-11-08,60.8,39.6,7.2,0,0,,,
Boat Creek,151.154,-23.8199,12,2020-11-08,49.2,40.4,6.4,0,0.8,,,
The Gap,139.498,-20.7264,12,2020-11-08,31.2,,,0,,,,
Flinders View,152.774,-27.6528,12,2020-11-08,41.8,,3.4,0,0.8,,24,
North Maclean,153.03,-27.7708,12,2020-11-08,,,,,0,,27,
Southport,153.402,-27.9612,12,2020-11-08,26.8,16.4,,,0.8,,26,
Woolloongabba,153.035,-27.4975,12,2020-11-08,32.8,24,,,7.5,0,,
Wynnum,153.158,-27.4296,12,2020-11-08,21.2,10.4,,0.5,0,,,
Wynnum West,153.15,-27.4379,12,2020-11-08,22.4,10.8,,1,,,,
Mutdapilly,152.651,-27.7528,12,2020-11-08,,,,,0.8,,25,
South Brisbane,153.032,-27.4848,12,2020-11-08,40.8,25.6,,,5.8,0,,
Springwood,153.136,-27.6125,12,2020-11-08,34.8,16.8,,0.5,0,,28,
Rocklea,152.993,-27.5358,12,2020-11-08,25.8,18,6.8,,0.8,,30,
Lytton,153.153,-27.4065,12,2020-11-08,30,15.6,,1.5,,,,
Deception Bay,153.158,-27.4296,12,2020-11-08,,,,,0.8,,26,
Brisbane CBD,153.028,-27.4774,12,2020-11-08,35.6,25.6,5.1,,,,,
Cannon Hill,153.087,-27.4654,12,2020-11-08,29,24,,,,,25,30.6
Mountain Creek,153.104,-26.6917,12,2020-11-08,38.6,,9.4,,2.5,,24,
Hopeland,0,0,12,2020-11-08,29,42,,,0,1.1,27,21.9
Miles Airport,0,0,12,2020-11-08,43.2,47.6,,,1.7,0,36,39.5
Upper Humbug,150.4,-27.0908,12,2020-11-08,45.8,60.8,,,0,1.1,27,37.1
Lennon Drive,146.826,-19.2589,12,2020-11-08,24.8,,,,,,,30.1
Coastguard,146.827,-19.2526,12,2020-11-08,27.2,,,,,,,18.9
Environment Park,146.831,-19.2629,12,2020-11-08,33.8,,,,,,,
North Ward,146.807,-19.2509,12,2020-11-08,31.8,20.8,5.5,0,0,,,
